sort_variable,characteristic,sentiment_prone_direction,sentiment_prone_interpretation,return_horizon_months,n_obs,sentiment_only_coef,factor_adjusted_coef,coef_change,sentiment_only_t,factor_adjusted_t,sentiment_only_r2,factor_adjusted_r2,delta_r2,sentiment_sign_change,hac_lags
risk,Total risk,high_minus_low,high_total_volatility,12,277,-13.017643278651978,-19.654021763246405,-6.636378484594427,-2.1913365292188605,-4.4833944797851295,0.0821050689713492,0.6342999224043182,0.5521948534329689,False,11
IVOL_FF3,IVOL (FF3),high_minus_low,high_ff3_idiosyncratic_volatility,12,277,-12.13913486488634,-18.422159014155778,-6.283024149269439,-1.708194258094368,-3.795411970417584,0.06026016012261,0.6601216994729506,0.5998615393503406,False,11
PPE_A,Low tangibility,low_minus_high,low_tangibility,12,277,-13.86465563055928,-15.272566799064812,-1.4079111685055317,-4.453027189824366,-4.885587869897479,0.2146146528508137,0.2913043481445878,0.0766896952937741,False,11
NON_D_PAYER,Non-dividend payer,prone_minus_safe,non_dividend_payers,12,277,-0.827999200287668,-4.960165554398614,-4.132166354110946,-0.2248643701732417,-2.835007754883711,0.0010806167008683,0.6831515475716836,0.6820709308708153,False,11
ME,Small firms,low_minus_high,small_firms,12,277,-7.862721482898759,-14.03708419010297,-6.174362707204211,-1.370366786914961,-3.1823056782722867,0.0209873841893384,0.6232373673796523,0.6022499831903139,False,11
UNPROFITABLE,Unprofitable,prone_minus_safe,non_positive_earnings,12,241,-4.085990380937226,-4.856958364637323,-0.7709679837000962,-1.6972403556533586,-3.0799624957532403,0.036401278133011,0.6796113661179938,0.6432100879849827,False,11
