variable,sample_mean,sample_std,neutral_impute_after_standardization
rESI_L1,-3.24125513900633e-17,0.038961969154010595,False
rCCI_L1,-2.1515228077886844e-17,0.026263419160476285,False
rTURN_L1,2.453630015626433e-15,0.30425341734081013,False
rNIPO,-1.5208941501219535e-15,2.5942582265029377,False
rRIPO,4.1676064309005876e-16,0.5286650598049787,True
rED_RATIO_L1,-2.3918227577494984e-16,0.041477776414370386,False
rDIV_PREMIUM,-7.867601226409414e-16,0.5578434296084392,False
