variable,correlation_with_SENT_ORTH_DIV_PREMIUM
rESI_L1,0.12668235437978487
rCCI_L1,0.044488982877453336
rTURN_L1,0.7558190778897326
rNIPO,0.22082400112959277
rRIPO,0.1381511714691049
rED_RATIO_L1,0.7539525692585375
rDIV_PREMIUM,0.7725239574376143
