country_code,month_end_date,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,SENT_ORTH_DIV_PREMIUM_fitted,SENT_ORTH_DIV_PREMIUM_innovation,SENT_ORTH_DIV_PREMIUM_innovation_lag
SWE,2001-02-28,,,,,
SWE,2001-03-31,,,,,
SWE,2001-04-30,,,,,
SWE,2001-05-31,,,,,
SWE,2001-06-30,,,,,
SWE,2001-07-31,,,,,
SWE,2001-08-31,,,,,
SWE,2001-09-30,,,,,
SWE,2001-10-31,,,,,
SWE,2001-11-30,,,,,
SWE,2001-12-31,0.8312695256101716,,,,
SWE,2002-01-31,0.4415197457863322,0.8312695256101716,0.6548829443756311,-0.21336319858929892,
SWE,2002-02-28,0.5025257769123093,0.4415197457863322,0.3455168287906905,0.15700894812161875,-0.21336319858929892
SWE,2002-03-31,0.3659112447290853,0.5025257769123093,0.3939407147136739,-0.028029469984588606,0.15700894812161875
SWE,2002-04-30,0.4868079512892632,0.3659112447290853,0.28550214889054387,0.2013058023987193,-0.028029469984588606
SWE,2002-05-31,0.8391852946160898,0.4868079512892632,0.3814646007806756,0.4577206938354142,0.2013058023987193
SWE,2002-06-30,0.06815634143744137,0.8391852946160898,0.6611661312714272,-0.5930097898339859,0.4577206938354142
SWE,2002-07-31,0.15959594214866807,0.06815634143744137,0.049157492405195416,0.11043844974347265,-0.5930097898339859
SWE,2002-08-31,0.4035116559982484,0.15959594214866807,0.12173819814787995,0.28177345785036845,0.11043844974347265
SWE,2002-09-30,0.4459783007028794,0.4035116559982484,0.3153476902632544,0.13063061043962504,0.28177345785036845
SWE,2002-10-31,0.4643853042042523,0.4459783007028794,0.34905583224125764,0.11532947196299465,0.13063061043962504
SWE,2002-11-30,0.5593715899018886,0.4643853042042523,0.3636664964867947,0.1957050934150939,0.11532947196299465
SWE,2002-12-31,0.6045589706910159,0.5593715899018886,0.4390624037106575,0.16549656698035842,0.1957050934150939
SWE,2003-01-31,0.3037736828434965,0.6045589706910159,0.4749301455077366,-0.17115646266424012,0.16549656698035842
SWE,2003-02-28,0.36542390839580335,0.3037736828434965,0.2361801039591726,0.12924380443663075,-0.17115646266424012
SWE,2003-03-31,0.6975924139426901,0.36542390839580335,0.2851153228903368,0.4124770910523533,0.12924380443663075
SWE,2003-04-30,0.4577482817404409,0.6975924139426901,0.5487759728774689,-0.09102769113702802,0.4124770910523533
SWE,2003-05-31,0.5519526667876369,0.4577482817404409,0.35839832196824245,0.19355434481939443,-0.09102769113702802
SWE,2003-06-30,0.8633170936216714,0.5519526667876369,0.4331735910813938,0.4301435025402776,0.19355434481939443
SWE,2003-07-31,0.7580510012105934,0.8633170936216714,0.680320884671949,0.07773011653864448,0.4301435025402776
SWE,2003-08-31,0.6096691836134303,0.7580510012105934,0.596765322108861,0.012903861504569236,0.07773011653864448
SWE,2003-09-30,0.5723266243684688,0.6096691836134303,0.47898640622540484,0.09334021814306398,0.012903861504569236
SWE,2003-10-31,0.8139009995826189,0.5723266243684688,0.44934553637081304,0.3645554632118058,0.09334021814306398
SWE,2003-11-30,0.9966677858289055,0.8139009995826189,0.6410965775609825,0.355571208267923,0.3645554632118058
SWE,2003-12-31,0.5808491865369654,0.9966677858289055,0.7861687588576926,-0.20531957232072717,0.355571208267923
SWE,2004-01-31,0.4934730898439036,0.5808491865369654,0.4561103688078978,0.0373627210360058,-0.20531957232072717
SWE,2004-02-29,0.9024080461211978,0.4934730898439036,0.38675509260703794,0.5156529535141599,0.0373627210360058
SWE,2004-03-31,1.2068466350881921,0.9024080461211978,0.7113495516663472,0.49549708342184495,0.5156529535141599
SWE,2004-04-30,0.9852677521602745,1.2068466350881921,0.9529994218611386,0.032268330299135894,0.49549708342184495
SWE,2004-05-31,0.7825477030358767,0.9852677521602745,0.7771199169694535,0.005427786066423246,0.032268330299135894
SWE,2004-06-30,0.5253504879274705,0.7825477030358767,0.616209719208343,-0.09085923128087248,0.005427786066423246
SWE,2004-07-31,0.4073368826769403,0.5253504879274705,0.4120579595503504,-0.004721076873410113,-0.09085923128087248
SWE,2004-08-31,0.5158425926065966,0.4073368826769403,0.3183839858048546,0.197458606801742,-0.004721076873410113
SWE,2004-09-30,0.45810514193984453,0.5158425926065966,0.4045110132913006,0.053594128648543904,0.197458606801742
SWE,2004-10-31,0.6630505822985744,0.45810514193984453,0.3586815817913686,0.3043690005072058,0.053594128648543904
SWE,2004-11-30,0.789812590020502,0.6630505822985744,0.521358196565295,0.26845439345520694,0.3043690005072058
SWE,2004-12-31,0.8689063910421991,0.789812590020502,0.6219762647792294,0.24693012626296973,0.26845439345520694
SWE,2005-01-31,0.5833431657393867,0.8689063910421991,0.6847574214484909,-0.10141425570910423,0.24693012626296973
SWE,2005-02-28,0.4773515427302451,0.5833431657393867,0.45808997905566096,0.019261563674584148,-0.10141425570910423
SWE,2005-03-31,0.4542399289332562,0.4773515427302451,0.3739585224331526,0.08028140650010362,0.019261563674584148
SWE,2005-04-30,0.2911707836739422,0.4542399289332562,0.35561354687343466,-0.06444276319949244,0.08028140650010362
SWE,2005-05-31,0.5586968988427395,0.2911707836739422,0.22617648070387297,0.33252041813886657,-0.06444276319949244
SWE,2005-06-30,0.1726424260042966,0.5586968988427395,0.4385268638258546,-0.265884437821558,0.33252041813886657
SWE,2005-07-31,0.15492673809824958,0.1726424260042966,0.13209391928332667,0.02283281881492291,-0.265884437821558
SWE,2005-08-31,0.1889156776492611,0.15492673809824958,0.11803199074321041,0.07088368690605068,0.02283281881492291
SWE,2005-09-30,0.03879750624698468,0.1889156776492611,0.14501090579609488,-0.1062133995491102,0.07088368690605068
SWE,2005-10-31,0.13247663855613884,0.03879750624698468,0.025853749154653372,0.10662288940148547,-0.1062133995491102
SWE,2005-11-30,0.3750897079177891,0.13247663855613884,0.10021209590458544,0.2748776120132037,0.10662288940148547
SWE,2005-12-31,0.16633880739091628,0.3750897079177891,0.29278760651161573,-0.12644879912069945,0.2748776120132037
SWE,2006-01-31,-0.11837587330781453,0.16633880739091628,0.12709038597682468,-0.24546625928463922,-0.12644879912069945
SWE,2006-02-28,0.46165318128480964,-0.11837587330781453,-0.09890351928614743,0.5605567005709571,-0.24546625928463922
SWE,2006-03-31,0.20741035765436824,0.46165318128480964,0.36149785830239195,-0.1540875006480237,0.5605567005709571
SWE,2006-04-30,0.31300671126748053,0.20741035765436824,0.15969116376763895,0.15331554749984158,-0.1540875006480237
SWE,2006-05-31,0.22729957612664628,0.31300671126748053,0.24350887304764862,-0.016209296921002342,0.15331554749984158
SWE,2006-06-30,0.27113699257558915,0.22729957612664628,0.17547834461882503,0.09565864795676413,-0.016209296921002342
SWE,2006-07-31,-0.02316783139241157,0.27113699257558915,0.21027454450434788,-0.23344237589675945,0.09565864795676413
SWE,2006-08-31,-0.46181220800917006,-0.02316783139241157,-0.023331591796851067,-0.438480616212319,-0.23344237589675945
SWE,2006-09-30,-0.2848753240309779,-0.46181220800917006,-0.37150807307270783,0.08663274904172996,-0.438480616212319
SWE,2006-10-31,-0.34748229737294317,-0.2848753240309779,-0.23106341002561787,-0.1164188873473253,0.08663274904172996
SWE,2006-11-30,-0.0838460163553511,-0.34748229737294317,-0.28075805298369205,0.19691203662834095,-0.1164188873473253
SWE,2006-12-31,-0.3079303431088445,-0.0838460163553511,-0.07149524795392112,-0.23643509515492336,0.19691203662834095
SWE,2007-01-31,-0.40089428291380047,-0.3079303431088445,-0.24936346320353123,-0.15153081971026924,-0.23643509515492336
SWE,2007-02-28,-0.2820179335514272,-0.40089428291380047,-0.3231541218151422,0.04113618826371501,-0.15153081971026924
