return_horizon_months,characteristic_count,offset_model_count,median_coef,median_hac_t,median_expected_signed_t,median_bootstrap_t,median_expected_signed_bootstrap_t,theory_consistent_sign_share,hac_theory_consistent_5pct_share,bootstrap_theory_consistent_5pct_share,min_n_obs,median_n_obs,median_r2
1,11,11,-0.6287734580445482,-1.3264732231883396,1.3264732231883396,-1.284741793096831,1.284741793096831,1.0,0.36363636363636365,0.36363636363636365,240,288.0,0.2643182541566641
3,11,33,-1.765591801082895,-1.344330972246562,1.344330972246562,-1.2834062777457764,1.2834062777457764,0.7575757575757576,0.3939393939393939,0.3333333333333333,79,95.0,0.44249167632743514
6,11,66,-3.55101427938751,-1.4207906091784768,1.4207906091784768,-1.1386389700104176,1.1386389700104176,0.8333333333333334,0.3939393939393939,0.30303030303030304,39,47.0,0.49416734493174935
12,11,132,-7.232028893235002,-2.4220308606032273,2.4220308606032273,-1.3966077438146103,1.3966077438146103,0.8560606060606061,0.553030303030303,0.4090909090909091,19,23.0,0.6109597731109163
