variable,count,mean,std,min,p05,median,p95,max,missing_share
portfolio_return_window,38064,0.9379531373977342,18.206529628902693,-80.17159081672956,-27.576232341622802,0.18468619158538147,30.93110126497272,234.11393991892524,0.01755110468717737
RMRF,38150,3.0334563663678917,13.235008856777691,-65.96307130568468,-19.639326496919917,3.025243672714839,23.233094051511017,66.01053865880553,0.01533140615321082
SMB,38150,-3.790924330717406,13.965267704288777,-47.89287477368539,-29.40778752351989,-3.218433466167958,18.48133763313693,54.72252427827784,0.01533140615321082
HML,37970,2.2637349099389152,11.241883964066886,-32.639788333995156,-16.0122781706172,1.4618155457088777,21.12794155326358,94.78984045142333,0.019977286805698945
UMD,37374,-1.2572290827716552,16.835394375231825,-68.92487536179443,-29.410835289353532,-0.47480565014049736,24.3362550466796,95.57220342522592,0.03536031385504852
