return_horizon_months,sentiment_index_label,sentiment_regressor,macro_orthogonalized_flag,main_specification_flag,model_count,mean_coef,mean_hac_t,mean_expected_signed_t,mean_bootstrap_t,mean_expected_signed_bootstrap_t,hac_theory_consistent_5pct_share,bootstrap_theory_consistent_5pct_share,mean_r2,min_n_obs,median_n_obs
1,SENT_ORTH_DIV_PREMIUM_INNOVATION,SENT_ORTH_DIV_PREMIUM_innovation_lag,True,False,11,-0.8715540010210195,-0.8418052373939383,0.8418052373939383,-0.7948040525485208,0.7948040525485208,0.18181818181818182,0.18181818181818182,0.29591236191180736,240,287.0
3,SENT_ORTH_DIV_PREMIUM_INNOVATION,SENT_ORTH_DIV_PREMIUM_innovation_lag,True,False,11,-1.1930764207213962,-0.8869647149447989,0.8869647149447989,-0.8777442616214625,0.8777442616214625,0.0,0.0,0.31930937459821873,238,285.0
6,SENT_ORTH_DIV_PREMIUM_INNOVATION,SENT_ORTH_DIV_PREMIUM_innovation_lag,True,False,11,-2.533940050257065,-1.2248560076022572,1.2248560076022572,-1.199514949549175,1.199514949549175,0.2727272727272727,0.2727272727272727,0.34617884222891643,235,282.0
12,SENT_ORTH_DIV_PREMIUM_INNOVATION,SENT_ORTH_DIV_PREMIUM_innovation_lag,True,False,11,-4.00108534946436,-1.2695635035224977,1.2695635035224977,-1.2708558646130044,1.2708558646130044,0.18181818181818182,0.18181818181818182,0.41557567592398,229,276.0
