sort_variable,sentiment_index_label,sentiment_regressor,macro_orthogonalized_flag,main_specification_flag,model_count,mean_coef,mean_hac_t,mean_expected_signed_t,mean_bootstrap_t,mean_expected_signed_bootstrap_t,hac_theory_consistent_5pct_share,bootstrap_theory_consistent_5pct_share,mean_r2,min_n_obs,median_n_obs
E_plus_BE,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,4,0.11899451433064395,-0.02525320606680191,0.02525320606680191,-0.02376205540587801,0.02376205540587801,0.0,0.0,0.09433593433126869,241,249.5
E_plus_BE,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,4,1.102649639622998,0.8439672665282348,-0.8439672665282348,0.7891164282638112,-0.7891164282638112,0.0,0.0,0.0974152335247915,241,249.5
E_plus_BE,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,4,1.0909910515621857,0.8849083373933746,-0.8849083373933746,0.7893191688454213,-0.7893191688454213,0.0,0.0,0.09793570074435964,241,249.5
GS,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,4,-1.5750414022352484,-0.7826848048270989,0.7826848048270989,-0.7569021947873626,0.7569021947873626,0.0,0.0,0.057948078124366253,229,236.5
GS,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,4,-2.6386275042046274,-1.7224865430397593,1.7224865430397593,-1.5678967536485682,1.5678967536485682,0.25,0.25,0.07009859791558404,229,236.5
GS,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,4,-1.3856309194889043,-1.0743084097048168,1.0743084097048168,-0.9343124142820984,0.9343124142820984,0.0,0.0,0.057113100536126254,229,236.5
ILLIQ,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,4,-1.0572348747499694,-0.514944153610228,0.514944153610228,-0.5048762384426289,0.5048762384426289,0.0,0.0,0.5829635060764055,277,284.5
ILLIQ,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,4,0.12300972193602172,0.21111763819018767,-0.21111763819018767,0.1865597452231648,-0.1865597452231648,0.0,0.0,0.5818583756752322,277,284.5
ILLIQ,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,4,0.45882067995406917,0.47537229220112404,-0.47537229220112404,0.4069519148666533,-0.4069519148666533,0.0,0.0,0.5820387609179082,277,284.5
IVOL_FF3,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,4,-9.499580535840867,-3.3667339269597054,3.3667339269597054,-3.3703620726460004,3.3703620726460004,1.0,1.0,0.5234695150068895,277,284.5
