return_horizon_months,return_leg,sentiment_index_label,sentiment_regressor,macro_orthogonalized_flag,main_specification_flag,model_count,mean_coef,mean_hac_t,mean_expected_signed_t,mean_bootstrap_t,mean_expected_signed_bootstrap_t,hac_theory_consistent_5pct_share,bootstrap_theory_consistent_5pct_share,mean_r2,min_n_obs,median_n_obs
1,long_leg,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,11,-0.48555972609879644,-0.9070734193907369,0.9070734193907369,-0.9197683696308583,0.9197683696308583,0.18181818181818182,0.18181818181818182,0.6620774590986683,240,288.0
1,long_leg,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,11,-0.4973794259872996,-0.9962163920803179,0.9962163920803179,-0.8983185246386689,0.8983185246386689,0.18181818181818182,0.18181818181818182,0.6618574253433629,240,288.0
1,long_leg,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,11,-0.49131172313551785,-1.0477138685355436,1.0477138685355436,-0.9303911812612745,0.9303911812612745,0.2727272727272727,0.09090909090909091,0.661635537309937,240,288.0
1,short_leg,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,11,0.4667657978918455,1.3866603344899102,,1.3826238926702967,,0.0,0.0,0.6844328901753862,240,288.0
1,short_leg,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,11,0.10767143453452906,0.24819898212467495,,0.23742164846495706,,0.0,0.0,0.6804109581014441,240,288.0
1,short_leg,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,11,0.007868516954141964,-0.026119003900540835,,-0.02307431238119656,,0.0,0.0,0.6802061159012552,240,288.0
3,long_leg,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,11,-1.133807750826329,-0.8303965735070115,0.8303965735070115,-0.8227571173883516,0.8227571173883516,0.18181818181818182,0.18181818181818182,0.7223349019413964,238,286.0
3,long_leg,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,11,-0.9071958513547607,-0.6521981398757499,0.6521981398757499,-0.6483149270893624,0.6483149270893624,0.09090909090909091,0.09090909090909091,0.7196572236982738,238,286.0
3,long_leg,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,11,-0.40731217853809487,-0.32240752433376324,0.32240752433376324,-0.33883092835660983,0.33883092835660983,0.09090909090909091,0.09090909090909091,0.7180266167883419,238,286.0
3,short_leg,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,11,0.8406907704350112,1.1773522095840387,,1.1889003148827137,,0.0,0.0,0.7367654380291533,238,286.0
3,short_leg,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,11,0.13931825666318365,0.14563022481741086,,0.1249561964777485,,0.0,0.0,0.730677202756954,238,286.0
3,short_leg,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,11,-0.002368631826494928,-0.04126061346148351,,-0.05646766469182612,,0.0,0.0,0.7300492856309521,238,286.0
