robustness_method,return_horizon_months,sort_variable,sentiment_prone_direction,sentiment_prone_interpretation,coef,expected_signed_hac_t_stat,expected_signed_bootstrap_t_stat,theory_consistent_sign_flag,theory_consistent_sign_share,theory_consistent_hac_5pct_share,theory_consistent_bootstrap_5pct_share,n_obs,model_count
nonoverlapping_horizon_median_offset,3,GS,high_minus_low,high_sales_growth,0.015967217072381756,-0.012266032629367709,-0.01117684385773679,False,0.3333333333333333,0.3333333333333333,0.0,79.0,3
overlapping_baseline,3,GS,high_minus_low,high_sales_growth,-0.878932831140074,0.6371759947415245,0.6297876471725166,True,1.0,0.0,0.0,238.0,1
sentiment_ar1_innovation,3,GS,high_minus_low,high_sales_growth,-2.1538811232676554,1.658001563135042,1.638484987955059,True,1.0,0.0,0.0,238.0,1
nonoverlapping_horizon_median_offset,3,ILLIQ,high_minus_low,high_amihud_illiquidity,-0.07158924908070566,0.05349309676220451,0.05219460812054941,True,0.6666666666666666,0.0,0.0,95.0,3
overlapping_baseline,3,ILLIQ,high_minus_low,high_amihud_illiquidity,-0.03042915858330202,0.02840374462765533,0.027910388769277265,True,1.0,0.0,0.0,286.0,1
sentiment_ar1_innovation,3,ILLIQ,high_minus_low,high_amihud_illiquidity,-0.3603302723742171,0.36337539521060636,0.35102328524888493,True,1.0,0.0,0.0,285.0,1
nonoverlapping_horizon_median_offset,3,IVOL_FF3,high_minus_low,high_ff3_idiosyncratic_volatility,-6.704416374832138,2.812821722312594,2.6590893663050883,True,1.0,0.6666666666666666,0.6666666666666666,95.0,3
overlapping_baseline,3,IVOL_FF3,high_minus_low,high_ff3_idiosyncratic_volatility,-5.598576500099081,2.9657823094260225,3.008461896384616,True,1.0,1.0,1.0,286.0,1
sentiment_ar1_innovation,3,IVOL_FF3,high_minus_low,high_ff3_idiosyncratic_volatility,-2.386473514117681,1.2541123942581722,1.3051150073415378,True,1.0,0.0,0.0,285.0,1
nonoverlapping_horizon_median_offset,3,ME,low_minus_high,small_firms,-2.7310588639910818,1.4293723486348406,1.2834062777457764,True,1.0,0.0,0.0,95.0,3
overlapping_baseline,3,ME,low_minus_high,small_firms,-2.4359241425683846,1.3832050010553623,1.3870875936311349,True,1.0,0.0,0.0,286.0,1
sentiment_ar1_innovation,3,ME,low_minus_high,small_firms,-0.8398645227532174,0.5572545283454643,0.5465279757578905,True,1.0,0.0,0.0,285.0,1
nonoverlapping_horizon_median_offset,3,NON_D_PAYER,prone_minus_safe,non_dividend_payers,-2.2416405592643014,2.530691907698119,2.6229185736489264,True,1.0,0.6666666666666666,0.6666666666666666,95.0,3
overlapping_baseline,3,NON_D_PAYER,prone_minus_safe,non_dividend_payers,-1.8788007706928636,2.4586832263446867,2.478266231918675,True,1.0,1.0,1.0,286.0,1
sentiment_ar1_innovation,3,NON_D_PAYER,prone_minus_safe,non_dividend_payers,-0.5928372342520821,0.8530061863079451,0.8834293003729249,True,1.0,0.0,0.0,285.0,1
nonoverlapping_horizon_median_offset,3,PPE_A,low_minus_high,low_tangibility,-4.416357536375231,3.2359847453006347,3.005155499704965,True,1.0,1.0,1.0,95.0,3
overlapping_baseline,3,PPE_A,low_minus_high,low_tangibility,-4.455361068626997,3.8609016239869054,3.7855422328516557,True,1.0,1.0,1.0,286.0,1
sentiment_ar1_innovation,3,PPE_A,low_minus_high,low_tangibility,-2.2922627490693204,1.8158778577147197,1.7583206653456138,True,1.0,0.0,0.0,285.0,1
nonoverlapping_horizon_median_offset,3,UNPROFITABLE,prone_minus_safe,non_positive_earnings,-1.765591801082895,1.9656565604552652,1.9662191695360098,True,0.6666666666666666,0.6666666666666666,0.6666666666666666,84.0,3
