country_code,month_end_date,CCI,DIV_PREMIUM,ED_RATIO,ESI,NIPO,NIPO_FUNDAMENTALS_AUDIT,RIPO,RIPO_OBSERVED_FLAG,TURN,ESI_L1,CCI_L1,TURN_L1,NIPO_L1,RIPO_L1,ED_RATIO_L1,DIV_PREMIUM_L1,sent_stage1,ESENT_REEST_DIV_PREMIUM,ESENT_PUBLISHED_BASE_WEIGHTS_DIV_PREMIUM,RSENT_REEST_DIV_PREMIUM,SENT_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM,sentiment_raw_div_premium,sentiment_orth_div_premium,s0_div_premium,s0_div_premium_lag
SWE,2001-02-28,0.011331444759206777,,0.2983382559145559,0.029263370332996974,0.0,0.0,,0.0,-2.8741014325922194,,,-2.788213123076775,,,,,,,,,,,,,,
SWE,2001-03-31,0.02121504339440694,,0.337427453097584,0.07483731019522777,0.0,0.0,,0.0,-2.6646772364538664,0.029263370332996974,0.011331444759206777,-2.8741014325922194,0.0,,0.2983382559145559,,,,,,,,,,,
SWE,2001-04-30,-0.0019249278152069227,,0.337427453097584,0.05131128848346633,0.0,0.0,,0.0,-2.7951647728879614,0.07483731019522777,0.02121504339440694,-2.6646772364538664,0.0,,0.337427453097584,,,,,,,,,,,
SWE,2001-05-31,0.004835589941972973,,0.3417284625636469,0.028135990621336537,0.0,0.0,,0.0,-2.798795167434884,0.05131128848346633,-0.0019249278152069227,-2.7951647728879614,0.0,,0.337427453097584,,,,,,,,,,,
SWE,2001-06-30,0.007797270955165914,,0.3417284625636469,-0.019540229885057547,3.0,0.0,0.025533333333333335,1.0,-3.0529446841704835,0.028135990621336537,0.004835589941972973,-2.798795167434884,0.0,,0.3417284625636469,,,,,,,,,,,
SWE,2001-07-31,0.012833168805528095,,0.3417284625636469,0.005780346820809301,0.0,0.0,,0.0,-3.206690062445686,-0.019540229885057547,0.007797270955165914,-3.0529446841704835,3.0,0.025533333333333335,0.3417284625636469,,,,-0.7935820852132568,,,,,,,
SWE,2001-08-31,0.03367346938775517,,0.3268614761064261,0.00933488914819125,0.0,0.0,,0.0,-3.2728480498304786,0.005780346820809301,0.012833168805528095,-3.206690062445686,0.0,,0.3417284625636469,,,,,,,,,,,
SWE,2001-09-30,-0.015075376884422065,,0.3268614761064261,0.017814726840855055,0.0,0.0,,0.0,-2.7873114366063616,0.00933488914819125,0.03367346938775517,-3.2728480498304786,0.0,,0.3268614761064261,,,,,,,,,,,
SWE,2001-10-31,-0.02066929133858264,,0.3268614761064261,-0.0023696682464455776,0.0,0.0,,0.0,-2.5817966314809517,0.017814726840855055,-0.015075376884422065,-2.7873114366063616,0.0,,0.3268614761064261,,,,,,,,,,,
SWE,2001-11-30,-0.004897159647404559,,0.3354466472107611,-0.02088167053364265,0.0,0.0,,0.0,-2.6392285752688958,-0.0023696682464455776,-0.02066929133858264,-2.5817966314809517,0.0,,0.3268614761064261,,,,,,,,,,,
SWE,2001-12-31,0.01491053677932408,0.2831528116152756,0.3354466472107611,-0.005767012687427964,0.0,0.0,,0.0,-3.1475371586943073,-0.02088167053364265,-0.004897159647404559,-2.6392285752688958,0.0,,0.3354466472107611,,,0.12892395886137714,,0.8312695256101716,0.12892395886137714,0.8312695256101716,0.12892395886137714,0.8312695256101716,1.0,
SWE,2002-01-31,-0.04644549763033179,0.1612835821061409,0.3354466472107611,-0.028026905829596438,0.0,0.0,,0.0,-2.8215312405374235,-0.005767012687427964,0.01491053677932408,-3.1475371586943073,0.0,,0.3354466472107611,0.2831528116152756,0.40701444332859393,0.19352509400143478,,0.4415197457863322,0.19352509400143478,0.4415197457863322,0.19352509400143478,0.4415197457863322,1.0,1.0
SWE,2002-02-28,-0.018604651162790753,0.12463388411036802,0.33366700033366703,-0.024070021881838155,0.0,0.0,,0.0,-3.0657507183738333,-0.028026905829596438,-0.04644549763033179,-2.8215312405374235,0.0,,0.3354466472107611,0.1612835821061409,0.28943431274542963,-0.32180451702900126,,0.5025257769123093,-0.32180451702900126,0.5025257769123093,-0.32180451702900126,0.5025257769123093,0.0,1.0
SWE,2002-03-31,0.010338345864661536,0.12068040315439865,0.33366700033366703,-0.014023732470334394,0.0,0.0,,0.0,-3.070897790482429,-0.024070021881838155,-0.018604651162790753,-3.0657507183738333,0.0,,0.33366700033366703,0.12463388411036802,0.25398283454039905,-0.16547552026920959,,0.3659112447290853,-0.16547552026920959,0.3659112447290853,-0.16547552026920959,0.3659112447290853,0.0,0.0
SWE,2002-04-30,0.007575757575757791,0.2285086235166517,0.33366700033366703,0.017563117453348154,0.0,0.0,,0.0,-2.755256275405521,-0.014023732470334394,0.010338345864661536,-3.070897790482429,0.0,,0.33366700033366703,0.12068040315439865,0.4470933025758848,0.1411726142039095,,0.4868079512892632,0.1411726142039095,0.4868079512892632,0.1411726142039095,0.4868079512892632,1.0,0.0
