variable,Comp1,Comp2,Comp3,Comp4,Comp5,sum
rESI_L1,-0.08771437274811587,0.15069499010613058,-0.008197048743875935,0.021334417692145037,0.03873413858378618,0.11485212489006999
rCCI_L1,-0.09379063404922587,0.14615372248858727,0.025726432290115727,-0.023191130007882556,-0.03923155660685884,0.015666834114735725
rTURN_L1,0.16161137919706556,0.0627332328626885,-0.017693248804858848,0.06639591205413715,-0.022833792292913876,0.2502134830161185
rNIPO,-0.010206488060857955,-0.023203255473976087,0.15728159709467165,0.02170105631141984,0.004698024866532853,0.1502709347377903
rRIPO,0.003906378341007575,0.015248523388313565,-0.001254644496788305,0.005432490874432297,0.04088514247871319,0.06421789058567832
rED_RATIO_L1,0.14451136810329912,0.06140098898847756,0.03009058037913994,-0.039420888315932795,0.0026541030305311797,0.19923615218551502
rDIV_PREMIUM,0.18450638936363697,0.04128871310669345,0.009837559972126176,-0.027842254948106493,0.015787411023306722,0.22357781851765682
