month_end_date,ESI,CCI,TURN,NIPO,RIPO,ED_RATIO,DIV_PREMIUM
2001-02-28,0.7192704464291029,0.38692638481188074,0.6263903407499961,-0.5308176413484281,,0.06926490819533604,
2001-03-31,1.866777396377634,0.7488929210396887,1.15472978047541,-0.5308176413484281,,0.5634456219769644,
2001-04-30,1.2744153249724517,-0.09856108193090506,0.825533282831012,-0.5308176413484281,,0.5634456219769644,
2001-05-31,0.690884134903875,0.1490290202164788,0.8163744527804667,-0.5308176413484281,,0.6178206432384236,
2001-06-30,-0.5095561725119307,0.2574945151566646,0.17520110340366815,0.5921621329193549,-0.23050182621468537,0.6178206432384236,
2001-07-31,0.12799102736855802,0.44192394910804744,-0.21267073049192,-0.5308176413484281,,0.6178206432384236,
2001-08-31,0.21749090464244047,1.2051572302359506,-0.3795753892313074,-0.5308176413484281,,0.4298664638570894,
2001-09-30,0.4310048715319145,-0.5801693174648012,0.8453458325148822,-0.5308176413484281,,0.4298664638570894,
2001-10-31,-0.07721833043837414,-0.7850349654602456,1.3638225844729206,-0.5308176413484281,,0.4298664638570894,
2001-11-30,-0.5433323277411732,-0.20741297898538358,1.2189321584248352,-0.5308176413484281,,0.5384035096401577,
2001-12-31,-0.16276011965346804,0.5180032920376065,-0.0634386331391966,-0.5308176413484281,,0.5384035096401577,0.8831753615519752
2002-01-31,-0.7232423198531257,-1.7290356733895256,0.7590154448623174,-0.5308176413484281,,0.5384035096401577,0.7206548851882459
2002-02-28,-0.6236118765796576,-0.7094217520374985,0.14289379096861166,-0.5308176413484281,,0.5159045271237431,0.6717801495322421
2002-03-31,-0.3706561971772524,0.3505561738939714,0.12990865723418324,-0.5308176413484281,,0.5159045271237431,0.666507927734771
2002-04-30,0.42466959479899946,0.24938204179226256,0.926215217339792,-0.5308176413484281,,0.5159045271237431,0.8103038129578987
2002-05-31,-0.8202840557906629,0.3574401870060534,0.10054340878409865,-0.15649104992583374,-0.21670546843890648,-0.6538806217470069,0.699142667584081
2002-06-30,0.5292231701747817,-0.23713942694426632,0.12691223546497316,0.21783554149676063,-0.23832386834648847,-0.6538806217470069,0.590939565818521
2002-07-31,-0.09930246748229275,1.0849858864979716,1.0832928197257945,-0.5308176413484281,,-0.6538806217470069,0.7409477141740873
2002-08-31,-0.34036031065397004,-0.1711229447555122,1.0553706041703264,-0.5308176413484281,,-0.5314610107393002,0.7239512787392116
2002-09-30,1.463566157684505,0.9260403561990684,0.46214730669719245,-0.5308176413484281,,-0.544766824864768,0.8591527787175283
2002-10-31,-0.15916667817614172,-0.21063159490848474,1.5455040092338173,-0.5308176413484281,,-0.544766824864768,0.8596538802101488
2002-11-30,-0.32529594225170727,0.49035941287884854,1.6339937355380787,-0.5308176413484281,,-0.588861053853729,0.8106198690947891
2002-12-31,1.061965061141069,1.0389933020272155,0.20944234340451962,-0.5308176413484281,,-0.588861053853729,0.9893739835658112
2003-01-31,-1.7559094913106623,-0.3678651120188333,1.2150741516845587,-0.5308176413484281,,-0.588861053853729,1.0596267277403917
2003-02-28,1.0587159737890914,1.0605157002614447,1.1386082465578822,-0.5308176413484281,,-0.4990811010435294,0.9968400782755116
2003-03-31,-0.07407097020988843,-0.22142753436756207,1.2594721532317947,-0.5308176413484281,,-0.4990811010435294,0.9398006710056064
2003-04-30,-0.46172468989100357,-0.6739049475358817,1.5857413294251035,-0.5308176413484281,,-0.45539329133333295,0.746793474225331
2003-05-31,0.8141007237532718,-0.589192480205473,2.0298589040576105,-0.5308176413484281,,-0.4344938642006272,0.6111871500506989
2003-06-30,0.2139787630648472,-1.361774331700292,2.0468556997342215,-0.5308176413484281,,-0.4344938642006272,0.6339079120527802
2003-07-31,-1.3600679464019025,-0.13588481151820808,2.1384756044695985,-0.5308176413484281,,-0.4344938642006272,0.6169097102307205
2003-08-31,-0.04492091170892557,-1.2105719468069922,1.7329108416951124,-0.5308176413484281,,-0.5104849930023833,0.5184637538345218
2003-09-30,0.009845859804404018,1.380510443354533,2.2136043895701483,-0.5308176413484281,,-0.5104849930023833,0.4488817474768409
2003-10-31,0.17570757305144505,1.7122822386669787,2.357212607955649,-0.5308176413484281,,-0.25689958042087024,0.47205899782863264
2003-11-30,-0.9737175716895374,-0.36543051227140344,1.6390870480672903,-0.5308176413484281,,-0.27046213205810965,0.4598324830532912
2003-12-31,0.14282348022850708,-1.1543655814403517,1.3254891106204534,-0.5308176413484281,,-0.27046213205810965,0.48271561816159925
2004-01-31,-0.7443693660372601,-1.2909248836923597,2.852974691504183,-0.5308176413484281,,-0.27046213205810965,0.36875145729815834
2004-02-29,0.37792950658193253,1.31756518558084,2.901112167579282,-0.5308176413484281,,-0.1542005482279323,0.42877898885643184
2004-03-31,-0.7347573412698858,-1.2582020150902462,3.0345672049629044,-0.5308176413484281,,-0.1542005482279323,0.5181067925723413
2004-04-30,-0.5196265092025089,1.282498267068523,2.3454903597343932,-0.5308176413484281,,-0.1542005482279323,0.470719526418778
2004-05-31,-0.09263894442529971,-0.9161089157532857,1.4659058031458758,-0.5308176413484281,,-0.3754112390873736,0.336091936471664
2004-06-30,-0.6042479291291628,0.5492430350942262,0.8169445218676081,-0.15649104992583374,-0.22834614531221986,-0.3754112390873736,0.41565494716334594
2004-07-31,-0.30752188762189114,-0.5263359725251922,1.5556756427709182,-0.5308176413484281,,-0.3754112390873736,0.4405953862825131
2004-08-31,-0.4451206084379202,0.007560890235881003,1.46422201884437,-0.5308176413484281,,-0.5377318511549308,0.5880533642944705
2004-09-30,0.5409021279769576,-0.41579548790413595,1.6722760300047321,-0.5308176413484281,,-0.5377318511549308,0.6231850374670072
2004-10-31,0.15356710824970132,-0.028064547270188322,1.807573652032412,-0.5308176413484281,,-0.21738734561967626,0.5771554465940332
2004-11-30,-0.017552416319720255,-0.6176385490278813,1.369903966957298,-0.5308176413484281,,-0.22247165622580956,0.6545628564708024
2004-12-31,-0.35520205292221585,-0.028064547270188322,0.9956074757673028,-0.5308176413484281,,-0.22247165622580956,0.7384449067502725
2005-01-31,0.2999327484280374,0.42840558391979633,0.9906206870660396,-0.5308176413484281,,-0.22247165622580956,0.662321113485044
2005-02-28,0.45517614040297255,-0.6493775497323646,1.8419045039652346,-0.5308176413484281,,-0.953201196066853,0.5053200143193606
2005-03-31,0.541981267192986,1.5564091884964597,0.8254142400786757,-0.5308176413484281,,-0.7896516512835986,0.37812973347188816
2005-04-30,0.007906649158612267,-0.45515434034590646,1.3747683396362145,-0.5308176413484281,,-0.3191400982659858,0.4446089169785521
2005-05-31,-0.4921568800135323,-0.09910809674883113,0.8045894081248951,-0.5308176413484281,,-0.2998355606134543,0.40459635569322006
2005-06-30,0.2092855634827267,0.043117084909090095,0.5764241329092068,-0.5308176413484281,,-0.2998355606134543,0.24121759690304412
2005-07-31,-0.6322744807257729,-0.9982089116739719,0.6402958982333349,-0.5308176413484281,,-0.2998355606134543,0.14691406897097917
2005-08-31,-0.09110358211739657,0.14599890214161204,0.5142314885478991,-0.5308176413484281,,-0.524686090633226,0.03293133158585171
2005-09-30,-0.30835914307319817,-0.23575613378952073,0.9718277674060766,-0.5308176413484281,,-0.524686090633226,0.1553593202372685
2005-10-31,0.0553597914739244,-0.028064547270188322,1.292650006725426,-0.15649104992583374,-0.04316131138987552,-0.5763115677884345,0.18217355569619437
2005-11-30,-0.40050322632842184,-0.7740875978603191,0.905883708375455,0.21783554149676063,-0.2676691244758947,-0.5012711285460215,0.11532380908730039
2005-12-31,-0.7156766979668158,-1.2728517482873865,1.0162872906362843,-0.5308176413484281,,-0.5012711285460215,0.1015373501979172
2006-01-31,-0.1564072826326158,0.8782779306569937,2.10762158026913,-0.5308176413484281,,-0.48808586113659597,0.01851266173535651
2006-02-28,0.453964732707843,0.3107231470521309,1.24814235770267,-0.5308176413484281,,-0.48808586113659597,0.11139714492122971
2006-03-31,-0.2742430310915383,-0.3304558755327462,2.0864361685673662,-0.5308176413484281,,-0.5013521831698028,0.07749113486510817
2006-04-30,-0.017552416319720255,-0.557872138680573,1.68395771371508,-0.5308176413484281,,-0.5013521831698028,0.014117049073724392
2006-05-31,-0.08736484448442602,0.7497081622345074,1.8095092510898771,-0.15649104992583374,-0.4445718672442166,-0.5734488105793097,0.26437376875762186
2006-06-30,0.36036902094964934,-0.028064547270188322,0.6339084264389483,-0.5308176413484281,,-0.5734488105793097,0.2944016888399986
2006-07-31,-0.6619879201826231,0.41688717874023323,0.06040192324477617,-0.5308176413484281,,-0.5926139254235674,0.22301430431547675
2006-08-31,0.09805371663744945,-0.6670324493533986,0.6593250372719168,-0.5308176413484281,,-0.6448856391155527,0.32677963146170014
2006-09-30,-0.40457164587416694,0.2088676600252791,0.7297423523403627,0.21783554149676063,-1.060007837483387,-0.6250884016617843,0.23538834397740446
2006-10-31,-0.1759110059931278,0.3135674467246104,1.346524383801855,-0.5308176413484281,,-0.5787060641573628,0.3545239426752242
2006-11-30,0.396349212580088,-0.19808752663993126,0.8919077154752457,-0.15649104992583374,-0.18827432215846374,-0.574068229292479,0.2452061380980465
2006-12-31,-0.06345764103817216,0.5242136771406432,0.7278066643547753,-0.15649104992583374,-0.26086613149798427,-0.574068229292479,0.22458087867431153
2007-01-31,-0.2900034434584602,-0.9040504660027707,1.292753712742172,-0.5308176413484281,,-0.574068229292479,0.32562758358283733
2007-02-28,0.35103335872982416,0.2776929182271987,1.6024324938962733,-0.5308176413484281,,-0.46793753790426773,0.37221116296307627
2007-03-31,-1.1189966752030058,-1.6824227736372301,1.4359564885791458,-0.5308176413484281,,-0.46793753790426773,0.35590561681888944
2007-04-30,0.43087172897096604,1.3520282284705882,0.8131192130340485,-0.5308176413484281,,-0.39853917060398486,0.3090228974292309
2007-05-31,-0.10691893187632155,-0.8828192094446171,1.1361136917171677,-0.15649104992583374,-0.09715544085291694,-0.9613674952394752,0.24524336405666491
