country_code,month_end_date,CCI,DIV_PREMIUM,ED_RATIO,ESI,NIPO,NIPO_FUNDAMENTALS_AUDIT,RIPO,RIPO_OBSERVED_FLAG,TURN,ESI_L1,CCI_L1,TURN_L1,NIPO_L1,RIPO_L1,ED_RATIO_L1,DIV_PREMIUM_L1,sent_stage1,ESENT_REEST_DIV_PREMIUM,ESENT_PUBLISHED_BASE_WEIGHTS_DIV_PREMIUM,RSENT_REEST_DIV_PREMIUM,SENT_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM,sentiment_raw_div_premium,sentiment_orth_div_premium,s0_div_premium,s0_div_premium_lag,year_num
SWE,2001-12-31,0.01491053677932408,0.2831528116152756,0.3354466472107611,-0.005767012687427964,0.0,0.0,,0.0,-3.1475371586943073,-0.02088167053364265,-0.004897159647404559,-2.6392285752688958,0.0,,0.3354466472107611,,,0.12892395886137714,,0.8312695256101716,0.12892395886137714,0.8312695256101716,0.12892395886137714,0.8312695256101716,1.0,,2001
SWE,2002-12-31,0.02913631633714897,0.36278797223831255,0.2462811545660526,0.042873696407879525,0.0,0.0,,0.0,-3.0393720760651988,-0.012222222222222134,0.01415571284125372,-2.474705674650245,0.0,,0.2462811545660526,0.228745624531824,0.4268964601279692,0.2582684262896282,,0.6045589706910159,0.2582684262896282,0.6045589706910159,0.2582684262896282,0.6045589706910159,1.0,1.0,2002
SWE,2003-12-31,-0.030753968253968145,-0.017139935910185033,0.27146618888617424,0.006369426751592355,0.0,0.0,,0.0,-2.596991327055668,-0.03797468354430378,-0.0092118730808598,-2.4726867777027337,0.0,,0.27146618888617424,-0.03429931241952755,0.3820522206472488,-0.13618907491760168,,0.5808491865369654,-0.13618907491760168,0.5808491865369654,-0.13618907491760168,0.5808491865369654,0.0,1.0,2003
SWE,2004-12-31,0.0,0.1746237855637215,0.27526218723333973,-0.013409961685823757,0.0,0.0,,0.0,-2.7277504394850394,0.0,-0.01609848484848475,-2.579386081477601,0.0,,0.27526218723333973,0.1117231525731639,0.46211277722087163,0.08179522841677438,,0.8689063910421991,0.08179522841677438,0.8689063910421991,0.08179522841677438,0.8689063910421991,1.0,1.0,2004
SWE,2005-12-31,-0.03398926654740608,-0.3029740834695005,0.2532094295191553,-0.027726432532347522,0.0,1.0,,0.0,-2.719553334973067,-0.015209125475285301,-0.020370370370370372,-2.7633153177578182,2.0,0.005418181818181834,0.2532094295191553,-0.2926360315507488,0.10326373694014707,-0.2535249770106393,-0.7364661852123765,0.16633880739091628,-0.2535249770106393,0.16633880739091628,-0.2535249770106393,0.16633880739091628,0.0,1.0,2005
SWE,2006-12-31,0.015080113100848447,-0.2107074328479297,0.24745125210333563,-0.001823154056517784,1.0,3.0,0.0091,1.0,-2.8339018365573745,0.016438356164383494,-0.00464252553389044,-2.768855148514884,1.0,0.048387096774193505,0.24745125210333563,-0.19524116957676463,0.20724253842434553,0.10788916661818213,-0.5812308273749995,-0.3079303431088445,0.10788916661818213,-0.3079303431088445,0.10788916661818213,-0.3079303431088445,1.0,1.0,2006
SWE,2007-12-31,0.02938295788442713,0.22804148506810207,0.22107753189043397,0.032755298651252485,0.0,1.0,,0.0,-3.14573464188102,0.002798507462686617,0.013320647002854402,-2.7594504622710017,2.0,0.0024999999999999467,0.22107753189043397,0.18140192344572958,0.22361557970190435,0.19352453465995895,-0.7177725949542959,-0.4776859180170992,0.19352453465995895,-0.4776859180170992,0.19352453465995895,-0.4776859180170992,1.0,1.0,2007
SWE,2008-12-31,-0.04377104377104368,0.06656784253270442,0.21371174559753803,-0.021505376344086113,0.0,0.0,,0.0,-3.2013060256384827,0.0494505494505495,-0.02699530516431925,-3.039395533523107,0.0,,0.21371174559753803,0.06897673627945289,-0.06321120059294488,0.0654688979490241,,0.2772330436912541,0.0654688979490241,0.2772330436912541,0.0654688979490241,0.2772330436912541,1.0,1.0,2008
SWE,2009-12-31,0.016650342801175277,-0.42776381422555043,0.23781212841854935,-0.009861932938856066,0.0,0.0,,0.0,-2.9939292362184524,-0.03685258964143434,0.01734104046242768,-3.1374153561106644,0.0,,0.23781212841854935,-0.3201624114969961,-0.18865150847420403,-0.2817230109113205,,0.3819373392835715,-0.2817230109113205,0.3819373392835715,-0.2817230109113205,0.3819373392835715,0.0,0.0,2009
SWE,2010-12-31,0.0026833631484795006,-0.7583823968727004,0.2442777927058651,-0.02645502645502651,1.0,0.0,0.3333,1.0,-3.218404873220192,0.032608695652173836,-0.000892060660124816,-3.3682342208344482,1.0,0.0289,0.2442777927058651,-0.6293392211467579,-0.36569226274992495,-0.03860563817084661,-0.751811227795887,-0.13871299560736244,-0.03860563817084661,-0.13871299560736244,-0.03860563817084661,-0.13871299560736244,0.0,0.0,2010
SWE,2011-12-31,-0.013292433537832271,-2.123960378510373,0.2331654542063048,0.005482456140350811,0.0,0.0,,0.0,-3.7430488492499068,0.025081788440566966,-0.009326424870466421,-3.5358717066576273,0.0,,0.2331654542063048,-1.8331507760376669,-1.346825408882279,-0.6001882719040452,,-0.8306499707465079,-0.6001882719040452,-0.8306499707465079,-0.6001882719040452,-0.8306499707465079,0.0,0.0,2011
SWE,2012-12-31,-0.05045408678102925,-1.4944959293412852,0.22414488725512172,-0.025871766029246457,0.0,0.0,,0.0,-3.693732478802055,0.0011547344110856006,0.03613177470775786,-3.6902525255555974,0.0,,0.22414488725512172,-1.5714794303947466,-1.1927639782958905,-0.3310174781107087,,-0.745861656663864,-0.3310174781107087,-0.745861656663864,-0.3310174781107087,-0.745861656663864,0.0,0.0,2012
SWE,2013-12-31,0.0076045627376426506,-1.2594972983125323,0.23088822700930478,-0.019512195121951237,0.0,0.0,,0.0,-3.3872164887678418,0.010945273631840724,0.005660377358490454,-3.1635905178453423,1.0,0.04528301886792452,0.23088822700930478,-1.3885774274443317,-0.7301306706794586,-0.2680915509913148,-0.8233031255583881,-0.26012912010506095,-0.2680915509913148,-0.26012912010506095,-0.2680915509913148,-0.26012912010506095,0.0,0.0,2013
SWE,2014-12-31,0.002938295788442735,-0.8832130234376185,0.24004416812693538,-0.001980198019801982,1.0,0.0,0.12666666666666648,1.0,-3.5195414016439255,-0.004960317460317443,-0.01562500000000011,-3.676684742962998,2.0,0.2184331797235023,0.24004416812693538,-0.8907946217741416,-0.7801560581809854,-0.549121020600452,-0.7647097762836714,-0.5605174227914518,-0.549121020600452,-0.5605174227914518,-0.549121020600452,-0.5605174227914518,0.0,0.0,2014
SWE,2015-12-31,0.008032128514056325,-1.5335477538984157,0.23649607416516888,-0.024907749077490826,5.0,0.0,0.31936879232244514,1.0,-3.0403304563586193,-0.019867549668874274,-0.031872509960159334,-2.951596187537762,5.0,-0.02936147186147191,0.23649607416516888,-1.5361521587783138,-0.5027937200839264,-0.5307556273383323,-0.13082418204131388,-0.17878451253528727,-0.5307556273383323,-0.17878451253528727,-0.5307556273383323,-0.17878451253528727,0.0,0.0,2015
SWE,2016-12-31,-0.005769230769230749,-2.107495543911317,0.24333860566978952,0.005439709882139709,11.0,0.0,0.010639340135480622,1.0,-3.37721058671485,-0.0342651036970244,0.0067698259187620735,-3.04713680946648,6.0,0.5866613108550229,0.24333860566978952,-1.9504185225668296,-0.6688539437705184,-0.29028748586571396,0.8701997112848665,-0.27726576874189446,-0.29028748586571396,-0.27726576874189446,-0.29028748586571396,-0.27726576874189446,0.0,0.0,2016
SWE,2017-12-31,0.0009372071227740086,-0.2981976316986241,0.26659557451346305,-0.005390835579514808,10.0,0.0,0.0227472057522241,1.0,-3.5042063271867967,0.013550135501354976,0.004681647940074862,-3.420813508759648,4.0,-0.07726683434639833,0.26659557451346305,-0.26018723947599676,0.019588143154455312,0.32123480216145445,0.40706246124928214,-0.055866563573430096,0.32123480216145445,-0.055866563573430096,0.32123480216145445,-0.055866563573430096,1.0,0.0,2017
SWE,2018-12-31,0.01327885597548506,-0.5718352203833774,0.277800927855099,0.03846153846153855,3.0,1.0,-0.0032427213309565626,1.0,-3.687338530859897,-0.012962962962963065,0.02318548387096775,-3.5464200444206275,2.0,0.048029556650246275,0.277800927855099,-0.4332590855720806,-0.41068037718285655,-0.07599336050344377,-0.5060481530089058,-0.810824088947311,-0.07599336050344377,-0.810824088947311,-0.07599336050344377,-0.810824088947311,0.0,0.0,2018
SWE,2019-12-31,0.004081632653061273,-0.30049137544586024,0.3184814803019204,-0.0263424518743669,2.0,8.0,-0.15440864022662887,1.0,-3.4950236707363462,0.0,-0.002032520325203291,-3.370380965234543,1.0,0.5523809523809524,0.3184814803019204,-0.2506534648328649,-0.11308401684096266,-0.05321782068444797,-0.4384488959565318,-0.3398696149797167,-0.05321782068444797,-0.3398696149797167,-0.05321782068444797,-0.3398696149797167,0.0,1.0,2019
SWE,2020-12-31,-0.018018018018018167,0.17854075144041825,0.3638348189921775,-0.05233111322549955,2.0,6.0,0.33164999999999994,1.0,-3.178974696552676,0.0010040160642570406,-0.020387359836901098,-2.7543971002696157,5.0,-0.022990461610927927,0.3638348189921775,0.1283801127217572,0.6066141191556073,0.23969317408431398,-0.48127501494697905,0.7773628152210519,0.23969317408431398,0.7773628152210519,0.23969317408431398,0.7773628152210519,1.0,1.0,2020
SWE,2021-12-31,0.07157676348547715,0.8512499911103095,0.39734573052012556,0.04956521739130437,15.0,13.0,0.061455886066545846,1.0,-3.494272250884549,0.001657000828500399,0.004840271055179146,-3.3848743715244236,9.0,0.10074254793440841,0.39734573052012556,0.5797687750997553,1.104921685043173,0.9284887543941741,1.160281113615679,1.0878085187627105,0.9284887543941741,1.0878085187627105,0.9284887543941741,1.0878085187627105,1.0,1.0,2021
SWE,2022-12-31,0.01863354037267073,0.37068809895112786,0.4072158651301055,0.020785219399538146,1.0,3.0,0.16541666666666655,1.0,-3.759447833509194,0.014705882352941124,0.015243902439024293,-3.130984212813303,0.0,,0.4072158651301055,0.2947950278969158,0.4224024447365521,0.5381950844546084,,0.19905476824735693,0.5381950844546084,0.19905476824735693,0.5381950844546084,0.19905476824735693,1.0,0.0,2022
SWE,2023-12-31,-0.05982905982905995,0.5481376243689944,0.41473125414731254,-0.0603070175438597,0.0,0.0,,0.0,-3.3372269511564783,0.010501750291715295,-0.03766233766233773,-3.5149193593740224,0.0,,0.41473125414731254,0.5763700231170714,0.3763757036704334,0.010940618517747053,,0.10056220110362835,0.010940618517747053,0.10056220110362835,0.010940618517747053,0.10056220110362835,1.0,1.0,2023
SWE,2024-12-31,0.00411522633744843,0.38446167645085216,0.4642741074330285,-0.009307135470527417,3.0,4.0,0.19934195402298852,1.0,-3.586965608537075,0.007306889352818313,0.0338114754098362,-3.4353349677113294,0.0,,0.4642741074330285,0.4311757956711699,0.6216061937472728,0.7093843737595704,,0.2447645704797842,0.7093843737595704,0.2447645704797842,0.7093843737595704,0.2447645704797842,1.0,1.0,2024
SWE,2025-12-31,0.008421052631578885,0.6772959885717436,0.5482756730083886,-0.0029440628066733643,2.0,5.0,0.0846944444444444,1.0,-4.066323376474525,-0.02066929133858264,0.0010438413361169019,-3.5050377168704556,0.0,,0.5482756730083886,0.6203837579455123,0.623148723262545,0.40712863237328556,,0.2883543153808402,0.40712863237328556,0.2883543153808402,0.40712863237328556,0.2883543153808402,1.0,1.0,2025
