month_end_date,return_horizon_months,HML,RMRF,SMB,UMD,country_code,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,SENT_DIV_PREMIUM_lag
2000-02-29,1,,21.47896388184769,-14.008797715788656,,,,,,,,
2000-02-29,3,,15.267204370834243,-12.403087577719596,,,,,,,,
2000-02-29,6,,-34.37837204556552,11.754060121382249,,,,,,,,
2000-02-29,12,,-46.97170445356264,19.255581796376585,,,,,,,,
2000-03-31,1,,-6.2138760387770775,6.7535858336431165,,,,,,,,
2000-03-31,3,,-43.23642072586043,36.01935992632321,,,,,,,,
2000-03-31,6,,-45.272518147302144,36.79482449877178,,,,,,,,
2000-03-31,12,,-62.12029326917873,37.699735602415444,,,,,,,,
2000-04-30,1,,1.1733414269285536,-4.577167091149481,,,,,,,,
2000-04-30,3,,-42.740486611558715,24.59648016465068,,,,,,,,
2000-04-30,6,,-48.09739503973316,41.91579618654959,,,,,,,,
2000-04-30,12,,-65.96307130568468,39.15721446608771,,,,,,,,
2000-05-31,1,,-40.17742657952091,33.52603385845363,,,,,,,,
2000-05-31,3,,-43.06999262052151,27.577624634355736,,,,,,,,
2000-05-31,6,,-51.28129864563245,38.14944996232872,,,,,,,,
2000-05-31,12,,-61.95634870638676,30.008267311002747,,,,,,,,
2000-06-30,1,-2.7718968085940654,-5.3944820027549305,-2.2115598321328145,,,,,,,,
2000-06-30,3,10.757305091343316,-3.586978565266985,0.5701133815573023,,,,,,,,
2000-06-30,6,34.29468307063046,-26.68537975777664,2.9684159013546374,,,,,,,,
2000-06-30,12,86.92382264680876,-36.42780031756801,7.912747567502532,,,,,,,,
2000-07-31,1,12.909921129099189,0.5911285862279625,-2.294042798762641,,,,,,,,
2000-07-31,3,10.399435244075184,-9.355490662021282,13.900325273243608,,,,,,,,
2000-07-31,6,46.96491282285966,-24.86040472555615,-1.4646486592332142,,,,,,,,
2000-07-31,12,94.78984045142333,-36.76493669387298,5.497024887823976,,,,,,,,
2000-08-31,1,0.8900791658532636,1.3116863840177295,5.259275699965338,,,,,,,,
2000-08-31,3,12.21732608966506,-14.423511260725498,8.286582665473198,,,,,,,,
2000-08-31,6,25.298952959217246,-19.19082595259829,6.712527193058149,,,,,,,,
2000-08-31,12,69.43980131626776,-38.62209433805936,4.114852647929301,,,,,,,,
2000-09-30,1,-3.0860522172200144,-11.054848899940595,10.749951139318515,,,,,,,,
2000-09-30,3,21.251309753226224,-23.95776094222517,2.3847069861583137,,,,,,,,
2000-09-30,6,52.44429767023184,-30.784853516964883,0.6615097515270341,,,,,,,,
2000-09-30,12,74.0017910629575,-44.9966937653937,-3.0054991535558573,,,,,,,,
2000-10-31,1,14.769150857431335,-5.033016940569102,-7.109622505473334,,,,,,,,
2000-10-31,3,33.12107303623806,-17.10518836361391,-13.489842013722697,,,,,,,,
2000-10-31,6,75.73826624526785,-34.42154065220483,-1.9438158362834357,,,,,,,,
2000-10-31,12,51.00777457596468,-43.97818646934248,-17.79490799551602,,,,,,,,
2000-11-30,1,9.012170101003903,-9.975653490160951,-0.477604567048584,,,,,,,,
2000-11-30,3,11.65740383004632,-5.57082297031064,-1.4536015761784093,,,,,,,,
2000-11-30,6,42.68921466151343,-21.91160635236701,-5.8930257438925215,,,,,,,,
2000-11-30,12,43.80083305266827,-37.94332971350428,-2.069604307043793,,,,,,,,
2000-12-31,1,6.401231848782918,-3.039525955996003,-6.421612640545837,,,,,,,,
2000-12-31,3,25.72589770823126,-8.978026764247005,-1.6830611576240995,,,,,,,,
2000-12-31,6,39.18929504342232,-13.288509887391465,4.801794436543183,,,,,,,,
2000-12-31,12,42.575918839928704,-23.869746432010942,11.061505155845408,,,,,,,,
2001-01-31,1,-3.735560927823345,8.181125914498399,5.81430393141662,,,,,,,,
2001-01-31,3,32.01385944164421,-20.889548991978202,13.34643982417736,,,,,,,,
2001-01-31,6,32.541731703136634,-15.843220774394762,7.065153218951337,,,,,,,,
2001-01-31,12,30.522784015693528,-20.073861255050808,10.554354867343863,,,,,,,,
2001-02-28,1,22.747372560555768,-13.223921712158981,-0.7093367010054696,12.757254118635108,SWE,,,,,,
2001-02-28,3,27.791986708468187,-17.30480334157597,-4.504907575233075,22.416399566646383,SWE,,,,,,
2001-02-28,6,35.22842554910866,-24.045869314371316,-2.4342732886733054,44.279058657013024,SWE,,,,,,
2001-02-28,12,38.88955519986415,-29.783775849146664,10.342363878785044,85.83189793738985,SWE,,,,,,
2001-03-31,1,11.722704086792191,-15.728185635951707,7.883516071294405,17.413961015607615,SWE,,,,,,
2001-03-31,3,10.708531480471262,-4.73565115093697,6.59586808796393,10.62453930936995,SWE,,,,,,
