sort_variable,sort_type,sentiment_prone_direction,sentiment_prone_interpretation,month_end_date,spread_code,spread_return
ME,continuous,low_minus_high,small_firms,2006-07-31,P10_P01,4.531705130587172
ME,continuous,low_minus_high,small_firms,2006-08-31,P10_P01,-1.6745885602229014
ME,continuous,low_minus_high,small_firms,2006-09-30,P10_P01,1.9596285602184813
ME,continuous,low_minus_high,small_firms,2006-10-31,P10_P01,9.168840951668617
ME,continuous,low_minus_high,small_firms,2006-11-30,P10_P01,5.001307478018076
ME,continuous,low_minus_high,small_firms,2006-12-31,P10_P01,4.771297214460789
ME,continuous,low_minus_high,small_firms,2007-01-31,P10_P01,-15.968302333480128
ME,continuous,low_minus_high,small_firms,2007-02-28,P10_P01,1.804977859361005
ME,continuous,low_minus_high,small_firms,2007-03-31,P10_P01,4.956626737226737
ME,continuous,low_minus_high,small_firms,2007-04-30,P10_P01,6.502918339141293
ME,continuous,low_minus_high,small_firms,2007-05-31,P10_P01,-3.3346854330393785
ME,continuous,low_minus_high,small_firms,2007-06-30,P10_P01,-3.3422364804971094
ME,continuous,low_minus_high,small_firms,2007-07-31,P10_P01,-0.2380283161040785
ME,continuous,low_minus_high,small_firms,2007-08-31,P10_P01,3.195770609055266
ME,continuous,low_minus_high,small_firms,2007-09-30,P10_P01,-4.954425177673898
ME,continuous,low_minus_high,small_firms,2007-10-31,P10_P01,1.2132994578452487
ME,continuous,low_minus_high,small_firms,2007-11-30,P10_P01,8.337905571421825
ME,continuous,low_minus_high,small_firms,2007-12-31,P10_P01,6.4165240852575955
ME,continuous,low_minus_high,small_firms,2008-01-31,P10_P01,-14.505157829177286
ME,continuous,low_minus_high,small_firms,2008-02-29,P10_P01,1.5791693947028098
ME,continuous,low_minus_high,small_firms,2008-03-31,P10_P01,8.03046863804933
ME,continuous,low_minus_high,small_firms,2008-04-30,P10_P01,-0.1207668947292575
ME,continuous,low_minus_high,small_firms,2008-05-31,P10_P01,0.9935261258832926
ME,continuous,low_minus_high,small_firms,2008-06-30,P10_P01,4.815066177011131
ME,continuous,low_minus_high,small_firms,2008-07-31,P10_P01,-0.9329569718991131
ME,continuous,low_minus_high,small_firms,2008-08-31,P10_P01,4.86482138210688
ME,continuous,low_minus_high,small_firms,2008-09-30,P10_P01,-2.8343384454147156
ME,continuous,low_minus_high,small_firms,2008-10-31,P10_P01,-0.644932344107584
ME,continuous,low_minus_high,small_firms,2008-11-30,P10_P01,6.497747294515994
ME,continuous,low_minus_high,small_firms,2008-12-31,P10_P01,20.33132026350945
ME,continuous,low_minus_high,small_firms,2009-01-31,P10_P01,-38.387816385902234
ME,continuous,low_minus_high,small_firms,2009-02-28,P10_P01,-3.1631494462387097
ME,continuous,low_minus_high,small_firms,2009-03-31,P10_P01,7.697993548467329
ME,continuous,low_minus_high,small_firms,2009-04-30,P10_P01,-7.690704287509682
ME,continuous,low_minus_high,small_firms,2009-05-31,P10_P01,7.8599666521162135
ME,continuous,low_minus_high,small_firms,2009-06-30,P10_P01,-4.290789018978566
ME,continuous,low_minus_high,small_firms,2009-07-31,P10_P01,11.297700968914771
ME,continuous,low_minus_high,small_firms,2009-08-31,P10_P01,-11.591336719324902
ME,continuous,low_minus_high,small_firms,2009-09-30,P10_P01,0.45015133998325974
ME,continuous,low_minus_high,small_firms,2009-10-31,P10_P01,1.1855698811749993
ME,continuous,low_minus_high,small_firms,2009-11-30,P10_P01,6.158325988271612
ME,continuous,low_minus_high,small_firms,2009-12-31,P10_P01,8.391332410067818
ME,continuous,low_minus_high,small_firms,2010-01-31,P10_P01,-6.656766814128436
ME,continuous,low_minus_high,small_firms,2010-02-28,P10_P01,-7.617507870504626
ME,continuous,low_minus_high,small_firms,2010-03-31,P10_P01,7.070637480438944
ME,continuous,low_minus_high,small_firms,2010-04-30,P10_P01,2.5219331083524086
ME,continuous,low_minus_high,small_firms,2010-05-31,P10_P01,-2.290109794698087
ME,continuous,low_minus_high,small_firms,2010-06-30,P10_P01,-4.468233436419906
ME,continuous,low_minus_high,small_firms,2010-07-31,P10_P01,9.526410325579345
ME,continuous,low_minus_high,small_firms,2010-08-31,P10_P01,4.126545345753064
ME,continuous,low_minus_high,small_firms,2010-09-30,P10_P01,13.802227478553386
ME,continuous,low_minus_high,small_firms,2010-10-31,P10_P01,9.10771494053942
ME,continuous,low_minus_high,small_firms,2010-11-30,P10_P01,2.4102855546762663
ME,continuous,low_minus_high,small_firms,2010-12-31,P10_P01,10.404131604866492
ME,continuous,low_minus_high,small_firms,2011-01-31,P10_P01,-14.009404278943318
ME,continuous,low_minus_high,small_firms,2011-02-28,P10_P01,0.12018157484927194
ME,continuous,low_minus_high,small_firms,2011-03-31,P10_P01,9.867474058325481
ME,continuous,low_minus_high,small_firms,2011-04-30,P10_P01,-14.03821569633542
ME,continuous,low_minus_high,small_firms,2011-05-31,P10_P01,2.538650289973532
ME,continuous,low_minus_high,small_firms,2011-06-30,P10_P01,-8.385996001752815
ME,continuous,low_minus_high,small_firms,2011-07-31,P10_P01,2.0137433411299996
ME,continuous,low_minus_high,small_firms,2011-08-31,P10_P01,0.5641660784928995
ME,continuous,low_minus_high,small_firms,2011-09-30,P10_P01,-8.749564052063047
ME,continuous,low_minus_high,small_firms,2011-10-31,P10_P01,4.927961571986329
ME,continuous,low_minus_high,small_firms,2011-11-30,P10_P01,1.6315964941182637
ME,continuous,low_minus_high,small_firms,2011-12-31,P10_P01,16.68246438339512
ME,continuous,low_minus_high,small_firms,2012-01-31,P10_P01,-17.177335193916072
ME,continuous,low_minus_high,small_firms,2012-02-29,P10_P01,-3.6813841921451336
ME,continuous,low_minus_high,small_firms,2012-03-31,P10_P01,-13.74099092384461
ME,continuous,low_minus_high,small_firms,2012-04-30,P10_P01,-2.4739035277601378
ME,continuous,low_minus_high,small_firms,2012-05-31,P10_P01,-1.0153520280584587
ME,continuous,low_minus_high,small_firms,2012-06-30,P10_P01,5.3964681926645515
ME,continuous,low_minus_high,small_firms,2012-07-31,P10_P01,4.909928040928332
ME,continuous,low_minus_high,small_firms,2012-08-31,P10_P01,-5.116628643402989
ME,continuous,low_minus_high,small_firms,2012-09-30,P10_P01,5.476180386620658
ME,continuous,low_minus_high,small_firms,2012-10-31,P10_P01,-5.693572307105488
ME,continuous,low_minus_high,small_firms,2012-11-30,P10_P01,3.3331380879900485
ME,continuous,low_minus_high,small_firms,2012-12-31,P10_P01,4.666886336393496
ME,continuous,low_minus_high,small_firms,2013-01-31,P10_P01,-36.82140694474602
ME,continuous,low_minus_high,small_firms,2013-02-28,P10_P01,-2.363671824394154
ME,continuous,low_minus_high,small_firms,2013-03-31,P10_P01,-2.5731440396120204
ME,continuous,low_minus_high,small_firms,2013-04-30,P10_P01,9.814854824718964
ME,continuous,low_minus_high,small_firms,2013-05-31,P10_P01,13.375795742766817
ME,continuous,low_minus_high,small_firms,2013-06-30,P10_P01,-13.9948473530073
ME,continuous,low_minus_high,small_firms,2013-07-31,P10_P01,-9.486749486929007
ME,continuous,low_minus_high,small_firms,2013-08-31,P10_P01,-3.352963104874343
ME,continuous,low_minus_high,small_firms,2013-09-30,P10_P01,1.5149442900382901
ME,continuous,low_minus_high,small_firms,2013-10-31,P10_P01,-14.846041308814257
ME,continuous,low_minus_high,small_firms,2013-11-30,P10_P01,-10.095371178018738
ME,continuous,low_minus_high,small_firms,2013-12-31,P10_P01,4.903852635048637
ME,continuous,low_minus_high,small_firms,2014-01-31,P10_P01,-13.846319976165073
ME,continuous,low_minus_high,small_firms,2014-02-28,P10_P01,-0.7985312978419161
ME,continuous,low_minus_high,small_firms,2014-03-31,P10_P01,5.255721744638801
ME,continuous,low_minus_high,small_firms,2014-04-30,P10_P01,2.8771177714951452
ME,continuous,low_minus_high,small_firms,2014-05-31,P10_P01,-3.421343548527623
ME,continuous,low_minus_high,small_firms,2014-06-30,P10_P01,0.11588997449758653
ME,continuous,low_minus_high,small_firms,2014-07-31,P10_P01,-1.7026619696234195
ME,continuous,low_minus_high,small_firms,2014-08-31,P10_P01,-2.972490186387349
ME,continuous,low_minus_high,small_firms,2014-09-30,P10_P01,-2.3323925783629478
ME,continuous,low_minus_high,small_firms,2014-10-31,P10_P01,4.675972297240882
ME,continuous,low_minus_high,small_firms,2014-11-30,P10_P01,0.7043799782325557
ME,continuous,low_minus_high,small_firms,2014-12-31,P10_P01,6.029087673517514
ME,continuous,low_minus_high,small_firms,2015-01-31,P10_P01,6.171371607617796
ME,continuous,low_minus_high,small_firms,2015-02-28,P10_P01,1.8680851530843459
ME,continuous,low_minus_high,small_firms,2015-03-31,P10_P01,-0.6201373745214022
ME,continuous,low_minus_high,small_firms,2015-04-30,P10_P01,-0.1301217442255136
ME,continuous,low_minus_high,small_firms,2015-05-31,P10_P01,-11.452102459181386
ME,continuous,low_minus_high,small_firms,2015-06-30,P10_P01,-5.25273949471735
ME,continuous,low_minus_high,small_firms,2015-07-31,P10_P01,2.9599849197093864
ME,continuous,low_minus_high,small_firms,2015-08-31,P10_P01,-13.159077280772955
ME,continuous,low_minus_high,small_firms,2015-09-30,P10_P01,-13.367829934282407
ME,continuous,low_minus_high,small_firms,2015-10-31,P10_P01,7.639333866312862
ME,continuous,low_minus_high,small_firms,2015-11-30,P10_P01,-15.49061093663326
ME,continuous,low_minus_high,small_firms,2015-12-31,P10_P01,-6.079839029239084
ME,continuous,low_minus_high,small_firms,2016-01-31,P10_P01,-8.791190800105698
ME,continuous,low_minus_high,small_firms,2016-02-29,P10_P01,-13.926598043609442
ME,continuous,low_minus_high,small_firms,2016-03-31,P10_P01,-1.0819698495872152
ME,continuous,low_minus_high,small_firms,2016-04-30,P10_P01,-5.589635219811127
ME,continuous,low_minus_high,small_firms,2016-05-31,P10_P01,-2.1826768345058083
ME,continuous,low_minus_high,small_firms,2016-06-30,P10_P01,-4.924335107637118
ME,continuous,low_minus_high,small_firms,2016-07-31,P10_P01,-4.961749985877106
ME,continuous,low_minus_high,small_firms,2016-08-31,P10_P01,-5.013279004950071
ME,continuous,low_minus_high,small_firms,2016-09-30,P10_P01,-6.070747322584987
ME,continuous,low_minus_high,small_firms,2016-10-31,P10_P01,1.9343581283742206
ME,continuous,low_minus_high,small_firms,2016-11-30,P10_P01,-7.931594550749435
ME,continuous,low_minus_high,small_firms,2016-12-31,P10_P01,4.983708470657874
ME,continuous,low_minus_high,small_firms,2017-01-31,P10_P01,-3.0334577602891777
ME,continuous,low_minus_high,small_firms,2017-02-28,P10_P01,4.845695660411959
ME,continuous,low_minus_high,small_firms,2017-03-31,P10_P01,5.522226130258534
ME,continuous,low_minus_high,small_firms,2017-04-30,P10_P01,9.66460754368466
ME,continuous,low_minus_high,small_firms,2017-05-31,P10_P01,1.6547898839697885
ME,continuous,low_minus_high,small_firms,2017-06-30,P10_P01,-10.737584493480204
ME,continuous,low_minus_high,small_firms,2017-07-31,P10_P01,-2.6606327077039236
ME,continuous,low_minus_high,small_firms,2017-08-31,P10_P01,1.6448522258430034
ME,continuous,low_minus_high,small_firms,2017-09-30,P10_P01,-11.331090020625929
ME,continuous,low_minus_high,small_firms,2017-10-31,P10_P01,2.249550856373679
ME,continuous,low_minus_high,small_firms,2017-11-30,P10_P01,-0.13471297036416852
ME,continuous,low_minus_high,small_firms,2017-12-31,P10_P01,1.2287847606963243
ME,continuous,low_minus_high,small_firms,2018-01-31,P10_P01,-2.8684226708499327
