country_code,month_end_date,eligible_rows,payer_count,nonpayer_count,payer_market_cap,nonpayer_market_cap,payer_mb_value_weight,nonpayer_mb_value_weight,DIV_PREMIUM_VW,raw_value,min_group_count,dividend_premium_status
SWE,2000-05-31,3,0,3,0.0,3825.797769,,2.83493543696104,,,10,insufficient_payer_or_nonpayer_count
SWE,2000-06-30,4,0,4,0.0,48466.84802,,16.266519274478338,,,10,insufficient_payer_or_nonpayer_count
SWE,2000-07-31,8,0,8,0.0,50536.2444003,,16.30915733576857,,,10,insufficient_payer_or_nonpayer_count
SWE,2000-08-31,9,0,9,0.0,170951.5824566,,13.178623384719716,,,10,insufficient_payer_or_nonpayer_count
SWE,2000-09-30,207,0,207,0.0,1570701.1349310721,,6.4424125237049035,,,10,insufficient_payer_or_nonpayer_count
SWE,2000-10-31,207,0,207,0.0,1560022.2419072406,,5.994664770706115,,,10,insufficient_payer_or_nonpayer_count
SWE,2000-11-30,211,0,211,0.0,1452652.9770474315,,5.3420992395421365,,,10,insufficient_payer_or_nonpayer_count
SWE,2000-12-31,212,0,212,0.0,1417516.3613840796,,5.109071857409613,,,10,insufficient_payer_or_nonpayer_count
SWE,2001-01-31,213,0,213,0.0,1360024.7164097736,,5.200579116829934,,,10,insufficient_payer_or_nonpayer_count
SWE,2001-02-28,215,0,215,0.0,1443528.1597595084,,4.722773716956934,,,10,insufficient_payer_or_nonpayer_count
SWE,2001-03-31,218,0,218,0.0,1270482.4565079794,,4.018363904121065,,,10,insufficient_payer_or_nonpayer_count
SWE,2001-04-30,220,0,220,0.0,1415579.2162337292,,4.697175582601065,,,10,insufficient_payer_or_nonpayer_count
SWE,2001-05-31,231,0,231,0.0,1437966.3284516914,,4.48051538414452,,,10,insufficient_payer_or_nonpayer_count
SWE,2001-06-30,234,0,234,0.0,1412241.5752036683,,3.49225266601418,,,10,insufficient_payer_or_nonpayer_count
SWE,2001-07-31,235,0,235,0.0,1389898.5703511317,,3.440809703127514,,,10,insufficient_payer_or_nonpayer_count
SWE,2001-08-31,234,3,231,2333.380217,1212697.0465013406,1.3388108987794916,3.0211090414480486,,,10,insufficient_payer_or_nonpayer_count
SWE,2001-09-30,255,5,250,29394.303437,1072437.6910664793,6.3816894874791,2.6354491304436856,,,10,insufficient_payer_or_nonpayer_count
SWE,2001-10-31,253,7,246,36432.103899,1124150.341343872,6.689218567494257,2.770721675017088,,,10,insufficient_payer_or_nonpayer_count
SWE,2001-11-30,252,8,244,120203.50046303979,1194772.9047332755,10.145902136760455,2.5020341143536755,,,10,insufficient_payer_or_nonpayer_count
SWE,2001-12-31,254,119,135,1051410.1481872,281113.771224528,3.3864143191653926,2.551340295160806,0.2831528116152756,0.2831528116152756,10,ok
SWE,2002-01-31,254,119,135,1004232.1964650697,271184.52857936977,3.119259710917891,2.6546481421652524,0.1612835821061409,0.1612835821061409,10,ok
SWE,2002-02-28,251,119,132,1034548.6523288209,245165.58023494045,3.124835851438277,2.7586677672188533,0.12463388411036802,0.12463388411036802,10,ok
SWE,2002-03-31,252,119,133,1052919.3519523006,251837.17961070035,3.2536136690286006,2.8837336870851793,0.12068040315439865,0.12068040315439865,10,ok
SWE,2002-04-30,252,119,133,1001327.9014733012,222326.17845071066,3.231627081181695,2.5714684760576105,0.2285086235166517,0.2285086235166517,10,ok
SWE,2002-05-31,254,118,136,960149.0036111802,213603.33445386548,2.9107184243010176,2.517453101428356,0.14515221550477198,0.14515221550477198,10,ok
