country_code,month_end_date,SENT_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,SENT_ORTH_DIV_PREMIUM_change,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,SENT_ORTH_SIBLEY_DIV_PREMIUM_change,SENT_DIV_PREMIUM_lag,SENT_DIV_PREMIUM_change,ORTH_minus_RAW_DIV_PREMIUM,SIBLEY_minus_ORTH_DIV_PREMIUM
SWE,2001-02-28,,,,,,,,,,,
SWE,2001-03-31,,,,,,,,,,,
SWE,2001-04-30,,,,,,,,,,,
SWE,2001-05-31,,,,,,,,,,,
SWE,2001-06-30,,,,,,,,,,,
SWE,2001-07-31,,,,,,,,,,,
SWE,2001-08-31,,,,,,,,,,,
SWE,2001-09-30,,,,,,,,,,,
SWE,2001-10-31,,,,,,,,,,,
SWE,2001-11-30,,,,,,,,,,,
SWE,2001-12-31,0.12892395886137714,0.8312695256101716,0.30131670715635783,,,,,,,0.7023455667487946,-0.5299528184538138
SWE,2002-01-31,0.19352509400143478,0.4415197457863322,0.06481984373665339,0.8312695256101716,-0.38974977982383946,0.30131670715635783,-0.23649686341970444,0.12892395886137714,0.06460113514005764,0.2479946517848974,-0.3766999020496788
SWE,2002-02-28,-0.32180451702900126,0.5025257769123093,-0.30033581394052244,0.4415197457863322,0.06100603112597708,0.06481984373665339,-0.36515565767717584,0.19352509400143478,-0.5153296110304361,0.8243302939413105,-0.8028615908528317
SWE,2002-03-31,-0.16547552026920959,0.3659112447290853,-0.3761387743789126,0.5025257769123093,-0.13661453218322395,-0.30033581394052244,-0.07580296043839013,-0.32180451702900126,0.15632899675979167,0.5313867649982948,-0.742050019107998
SWE,2002-04-30,0.1411726142039095,0.4868079512892632,-0.041587629131635225,0.3659112447290853,0.12089670656017787,-0.3761387743789126,0.33455114524727736,-0.16547552026920959,0.3066481344731191,0.34563533708535366,-0.5283955804208984
SWE,2002-05-31,0.43181387733562965,0.8391852946160898,0.46286378613448403,0.4868079512892632,0.35237734332682663,-0.041587629131635225,0.5044514152661193,0.1411726142039095,0.2906412631317201,0.40737141728046017,-0.3763215084816058
SWE,2002-06-30,-0.09816392838241196,0.06815634143744137,-0.5170350856264914,0.8391852946160898,-0.7710289531786485,0.46286378613448403,-0.9798988717609753,0.43181387733562965,-0.5299778057180417,0.16632026981985332,-0.5851914270639327
SWE,2002-07-31,0.10021527060352625,0.15959594214866807,-0.2763166016677433,0.06815634143744137,0.0914396007112267,-0.5170350856264914,0.24071848395874806,-0.09816392838241196,0.1983791989859382,0.05938067154514182,-0.43591254381641137
SWE,2002-08-31,0.317641202148922,0.4035116559982484,0.12955373570720824,0.15959594214866807,0.24391571384958033,-0.2763166016677433,0.40587033737495154,0.10021527060352625,0.21742593154539575,0.0858704538493264,-0.27395792029104016
SWE,2002-09-30,0.033538244120140476,0.4459783007028794,-0.3044882966068427,0.4035116559982484,0.04246664470463102,0.12955373570720824,-0.4340420323140509,0.317641202148922,-0.2841029580287815,0.41244005658273897,-0.7504665973097221
SWE,2002-10-31,0.6577247091600807,0.4643853042042523,0.382962717740003,0.4459783007028794,0.018407003501372865,-0.3044882966068427,0.6874510143468457,0.033538244120140476,0.6241864650399402,-0.19333940495582846,-0.08142258646424927
SWE,2002-11-30,0.12189716195493266,0.5593715899018886,-0.11783014078223197,0.4643853042042523,0.09498628569763634,0.382962717740003,-0.500792858522235,0.6577247091600807,-0.5358275472051481,0.43747442794695596,-0.6772017306841206
SWE,2002-12-31,0.2582684262896282,0.6045589706910159,0.4233719123773537,0.5593715899018886,0.04518738078912732,-0.11783014078223197,0.5412020531595857,0.12189716195493266,0.13637126433469554,0.34629054440138773,-0.18118705831366222
SWE,2003-01-31,0.5748461941545204,0.3037736828434965,0.0019604936123611277,0.6045589706910159,-0.30078528784751946,0.4233719123773537,-0.4214114187649926,0.2582684262896282,0.3165777678648922,-0.27107251131102394,-0.30181318923113537
SWE,2003-02-28,-0.34149056824668533,0.36542390839580335,-0.8223639537659592,0.3037736828434965,0.06165022555230687,0.0019604936123611277,-0.8243244473783203,0.5748461941545204,-0.9163367624012058,0.7069144766424886,-1.1877878621617626
SWE,2003-03-31,0.6803574078198049,0.6975924139426901,0.6106529744310413,0.36542390839580335,0.33216850554688676,-0.8223639537659592,1.4330169281970004,-0.34149056824668533,1.0218479760664902,0.0172350061228852,-0.08693943951164884
SWE,2003-04-30,0.10188411425550863,0.4577482817404409,0.18047553865969643,0.6975924139426901,-0.2398441322022492,0.6106529744310413,-0.4301774357713448,0.6803574078198049,-0.5784732935642963,0.35586416748493227,-0.27727274308074445
SWE,2003-05-31,-0.07142725416596375,0.5519526667876369,-0.06885398111801778,0.4577482817404409,0.09420438504719597,0.18047553865969643,-0.24932951977771423,0.10188411425550863,-0.17331136842147238,0.6233799209536006,-0.6208066479056547
SWE,2003-06-30,0.34072610354187816,0.8633170936216714,0.5371965802909249,0.5519526667876369,0.31136442683403454,-0.06885398111801778,0.6060505614089426,-0.07142725416596375,0.4121533577078419,0.5225909900797933,-0.32612051333074654
SWE,2003-07-31,0.024575476708689634,0.7580510012105934,0.11784204117673354,0.8633170936216714,-0.10526609241107798,0.5371965802909249,-0.41935453911419135,0.34072610354187816,-0.3161506268331885,0.7334755245019038,-0.6402089600338599
SWE,2003-08-31,-0.14437865132075,0.6096691836134303,-0.19732451671009796,0.7580510012105934,-0.14838181759716318,0.11784204117673354,-0.3151665578868315,0.024575476708689634,-0.16895412802943965,0.7540478349341803,-0.8069937003235282
SWE,2003-09-30,-0.08939942562462197,0.5723266243684688,-0.14860573699051666,0.6096691836134303,-0.03734255924496144,-0.19732451671009796,0.0487187797195813,-0.14437865132075,0.05497922569612804,0.6617260499930908,-0.7209323613589855
SWE,2003-10-31,0.5161327278562342,0.8139009995826189,0.5277914488889686,0.5723266243684688,0.24157437521415004,-0.14860573699051666,0.6763971858794853,-0.08939942562462197,0.6055321534808562,0.29776827172638465,-0.2861095506936503
SWE,2003-11-30,0.6738563922311223,0.9966677858289055,0.795011906979151,0.8139009995826189,0.18276678624628662,0.5277914488889686,0.26722045809018247,0.5161327278562342,0.15772366437488805,0.3228113935977832,-0.20165587884975444
SWE,2003-12-31,-0.13618907491760168,0.5808491865369654,0.12798658409002747,0.9966677858289055,-0.4158185992919401,0.795011906979151,-0.6670253228891235,0.6738563922311223,-0.8100454671487239,0.7170382614545671,-0.4528626024469379
SWE,2004-01-31,-0.06233115931423229,0.4934730898439036,0.108489941967556,0.5808491865369654,-0.08737609669306179,0.12798658409002747,-0.019496642122471472,-0.13618907491760168,0.07385791560336939,0.5558042491581359,-0.3849831478763476
SWE,2004-02-29,-0.12814309874380325,0.9024080461211978,-0.10601047454260543,0.4934730898439036,0.40893495627729426,0.108489941967556,-0.21450041651016144,-0.06233115931423229,-0.06581193942957096,1.030551144865001,-1.0084185206638032
SWE,2004-03-31,0.7348745139817676,1.2068466350881921,0.6944321098786223,0.9024080461211978,0.3044385889669943,-0.10601047454260543,0.8004425844212277,-0.12814309874380325,0.8630176127255709,0.4719721211064245,-0.5124145252095699
SWE,2004-04-30,-0.07527686928901055,0.9852677521602745,0.17851990566924608,1.2068466350881921,-0.2215788829279176,0.6944321098786223,-0.5159122042093762,0.7348745139817676,-0.8101513832707782,1.060544621449285,-0.8067478464910285
SWE,2004-05-31,0.3930819011573794,0.7825477030358767,0.5249928767442276,0.9852677521602745,-0.20272004912439778,0.17851990566924608,0.3464729710749815,-0.07527686928901055,0.46835877044638996,0.38946580187849733,-0.25755482629164916
