base_proxy,corr_current,corr_lagged,selected_proxy
ESI,0.0028446222932101664,0.1050578859500682,ESI_L1
CCI,0.05843327342936077,0.12496386164839596,CCI_L1
TURN,0.419489171127633,0.44771521480658133,TURN_L1
NIPO,0.16667206604251678,0.1463538303413018,NIPO
RIPO,0.0005117224653003418,-0.04048003976863521,RIPO
ED_RATIO,0.6065915500316524,0.6143947409708793,ED_RATIO_L1
DIV_PREMIUM,0.8935691514927023,0.891921762153907,DIV_PREMIUM
