month_end_date,adj_close,TURN,DIV_PREMIUM,ED_RATIO,NIPO
2008-11-30,641.739990234375,0.20938316447296787,0.5975577538138148,-1.0006160892959661,-0.5308176413484281
2008-12-31,662.3300170898438,-0.19908777760189397,0.5943453386635096,-1.0006160892959661,-0.5308176413484281
2009-01-31,617.3800048828125,0.08671179799157443,0.5717093704868328,-1.0006160892959661,-0.5308176413484281
2009-02-28,640.3900146484375,0.5188672114234586,0.5186561171668155,-0.9916364575790314,-0.5308176413484281
2009-03-31,653.0499877929688,0.388366319413771,0.3673354230274845,-0.9456475120189087,-0.5308176413484281
2009-04-30,763.8900146484375,0.8175009566743014,-0.18492200155877409,-0.6576984825089415,-0.5308176413484281
2009-05-31,776.5,0.9313874158567745,-0.7000459025877493,-0.8958922778899708,-0.5308176413484281
2009-06-30,795.7999877929688,0.8095864848106046,-0.5647387621462787,-0.8958922778899708,-0.5308176413484281
2009-07-31,882.0499877929688,-0.11411417288647242,-0.4164932662983089,-0.8224310815339796,-0.15649104992583374
2009-08-31,904.8400268554688,0.1698521667023301,-0.25201570519926975,-0.8138106572781881,-0.5308176413484281
2009-09-30,896.760009765625,0.4340590564641232,0.0882538224067961,-0.8138106572781881,-0.5308176413484281
2009-10-31,944.6699829101562,0.2615080399430039,0.08154715449410119,-0.7130626995628653,-0.5308176413484281
2009-11-30,936.1900024414062,-0.03790315249912542,0.07861560637319531,-0.69592975027673,-0.5308176413484281
2009-12-31,951.719970703125,0.3240864245893906,-0.06487780290891836,-0.69592975027673,-0.5308176413484281
2010-01-31,953.7100219726562,0.013096861820249257,-0.23335252786338911,-0.69592975027673,-0.5308176413484281
2010-02-28,947.3900146484376,-0.12474116868881077,-0.007381567028028198,-0.7025644388408662,-0.5308176413484281
2010-03-31,1021.0800170898438,0.16374625837517204,-0.1120337221039484,-0.7021372781980143,-0.5308176413484281
2010-04-30,1053.8800048828125,-0.1037595881497781,-0.2793356757766098,-0.7278334048527098,-0.5308176413484281
2010-05-31,980.6300048828124,-0.53710838539531,-0.5015370443218009,-0.7061193863455607,-0.15649104992583374
2010-06-30,1005.9299926757812,-0.7423741400737259,-0.22043666549944546,-0.7061193863455607,0.21783554149676063
2010-07-31,1047.260009765625,-1.1994400367011788,-0.09014003308525734,-0.8124900191476732,0.21783554149676063
2010-08-31,1011.7000122070312,-0.9146166857905929,0.11350326246535589,-0.8071290630935953,-0.5308176413484281
2010-09-30,1087.7099609375,-0.42667607422070064,-0.13923943292812227,-0.8071290630935953,-0.5308176413484281
2010-10-31,1089.3199462890625,-0.5426987028925468,-0.3892141229332359,-0.6107898281678704,-0.5308176413484281
2010-11-30,1107.050048828125,-0.6202174787083803,-0.33369160675422505,-0.61418832750928,-0.15649104992583374
2010-12-31,1155.5699462890625,-0.2422250832134313,-0.5057790030144649,-0.61418832750928,-0.15649104992583374
2011-01-31,1147.219970703125,-0.016183702368524996,-0.43881299949334296,-0.61418832750928,0.21783554149676063
2011-02-28,1128.6600341796875,-0.614295231425287,-0.5476572498552849,-0.5098401368298229,-0.15649104992583374
2011-03-31,1134.8699951171875,-0.5139111979605194,-0.7178210315703811,-0.46528725478674,-0.5308176413484281
2011-04-30,1162.8399658203125,-1.1637894574047387,-0.5817157073847864,-0.4681030365177681,0.5921621329193549
2011-05-31,1151.3599853515625,-0.8046462015756948,-1.0006256045663733,-0.5018384247278258,0.5921621329193549
2011-06-30,1115.22998046875,-1.3196202909604964,-0.8486767727240823,-0.5018384247278258,0.21783554149676063
