variable,Comp1,Comp2,Comp3,Comp4,Comp5,sum
rESI_L1,-0.0877143727481158,0.1506949901061305,-0.0081970487438759,0.021334417692145,0.0387341385837861,0.1148521248900699
rCCI_L1,-0.0937906340492258,0.1461537224885872,0.0257264322901157,-0.0231911300078825,-0.0392315566068588,0.0156668341147357
rTURN_L1,0.1616113791970655,0.0627332328626885,-0.0176932488048588,0.0663959120541371,-0.0228337922929138,0.2502134830161185
rNIPO,-0.0102064880608579,-0.023203255473976,0.1572815970946716,0.0217010563114198,0.0046980248665328,0.1502709347377903
rRIPO,0.0039063783410075,0.0152485233883135,-0.0012546444967883,0.0054324908744322,0.0408851424787131,0.0642178905856783
rED_RATIO_L1,0.1445113681032991,0.0614009889884775,0.0300905803791399,-0.0394208883159327,0.0026541030305311,0.199236152185515
rDIV_PREMIUM,0.1845063893636369,0.0412887131066934,0.0098375599721261,-0.0278422549481064,0.0157874110233067,0.2235778185176568
