variable,label,tex_label,mean,std,min,max,median,obs
ESI,Economic sentiment index,\var{ESI_t},0.0006971049420028772,0.039715611190219734,-0.141206675224647,0.4921135646687697,-0.001086956521739,299
CCI,Consumer confidence index,\var{CCI_t},0.0007663103998171068,0.027305282798241435,-0.0652654867256637,0.1289566236811254,-0.0018535681186283,299
TURN,Turnover,\var{TURN_t},-3.122391232135812,0.39638190979494914,-4.066323376474525,-1.9195436880314949,-3.1492910740513014,299
NIPO,IPO number,\var{NIPO_t},1.4180602006688963,2.6714639646614216,0.0,21.0,0.0,299
RIPO,IPO initial return,\var{RIPO_t},0.15028222216140857,0.541205641953944,-0.6511111111111111,4.684755621763496,0.0622029430332729,130
ED_RATIO,Equity-to-debt ratio,\var{ED\_RATIO_t},0.29285947137520574,0.07909899373430634,0.2113628677713899,0.5482756730083886,0.2558460829964693,299
DIV_PREMIUM,Dividend premium,\var{DIV\_PREMIUM_t},-0.37911389619885205,0.749869999374018,-2.123960378510373,0.8512499911103095,-0.2626146028297837,289
