component,eigenvalue,proportion,cumulative,retained_flag
Comp1,1.817440296218598,0.2793472146902912,0.2793472146902912,True
Comp2,1.58528307197612,0.24366380099175103,0.5230110156820422,True
Comp3,1.0450982889507,0.16063542593580338,0.6836464416178456,True
Comp4,0.8640411802990506,0.13280628672999353,0.8164527283478391,True
Comp5,0.4914592733224953,0.0755390861653047,0.8919918145131438,True
Comp6,0.40773959941970306,0.06267106636394804,0.9546628808770918,False
Comp7,0.2949644846102689,0.045337119122908054,0.9999999999999999,False
