result_set,sentiment_index_family,sentiment_index_label,sentiment_regressor,macro_orthogonalized_flag,main_specification_flag,dependent_variable,model,return_horizon_months,return_leg,sort_variable,portfolio_code,sentiment_prone_direction,sentiment_prone_interpretation,term,coef,std_error,t_stat,n_obs,r2,standard_error_type,hac_lags,bootstrap_std_error,bootstrap_t_stat,bootstrap_p_value,bootstrap_repetitions,bootstrap_block_length,bootstrap_seed,bootstrap_valid_repetitions,sentiment_term_flag,expected_coef_sign,expected_signed_t_stat,expected_signed_bootstrap_t_stat,theory_consistent_sign,theory_consistent_hac_5pct,theory_consistent_bootstrap_5pct,mechanical_overlap_warning,mechanical_overlap_note
directional_by_leg,dividend_premium_macro_adjusted_fixed_pca,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,portfolio_return_window,portfolio_return_window_on_SENT_ORTH_DIV_PREMIUM_lag_and_factors,1,long_leg,GS,P10,high_minus_low,high_sales_growth,HML,0.018912208761312863,0.04589058129354054,0.41211525825616213,240,0.7161076247752541,HAC_Newey_West,4,0.04741030199867153,0.3989050473005381,0.684,1000,6,20260510,1000,False,,,,False,False,False,False,
directional_by_leg,dividend_premium_macro_adjusted_fixed_pca,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,portfolio_return_window,portfolio_return_window_on_SENT_ORTH_DIV_PREMIUM_lag_and_factors,1,long_leg,GS,P10,high_minus_low,high_sales_growth,UMD,-0.047671194661367114,0.03412520696646914,-1.3969496128831698,240,0.7161076247752541,HAC_Newey_West,4,0.03340083286717722,-1.4272456872838428,0.158,1000,6,20260510,1000,False,,,,False,False,False,False,
directional_by_leg,dividend_premium_macro_adjusted_fixed_pca,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,portfolio_return_window,portfolio_return_window_on_SENT_ORTH_DIV_PREMIUM_lag_and_factors,1,long_leg,ILLIQ,P10,high_minus_low,high_amihud_illiquidity,intercept,0.8132451272676706,0.20860235621092227,3.8985423848491014,288,0.6386518324638389,HAC_Newey_West,5,0.21004588209436445,3.8717499203450942,0.0,1000,6,20260510,1000,False,,,,False,False,False,False,
directional_by_leg,dividend_premium_macro_adjusted_fixed_pca,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,portfolio_return_window,portfolio_return_window_on_SENT_ORTH_DIV_PREMIUM_lag_and_factors,1,long_leg,ILLIQ,P10,high_minus_low,high_amihud_illiquidity,SENT_ORTH_DIV_PREMIUM_lag,0.04588775717484419,0.42590344245659834,0.10774216078218334,288,0.6386518324638389,HAC_Newey_West,5,0.43638398322625654,0.10515454035592385,0.932,1000,6,20260510,1000,True,-1.0,-0.10774216078218334,-0.10515454035592385,False,False,False,False,
directional_by_leg,dividend_premium_macro_adjusted_fixed_pca,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,portfolio_return_window,portfolio_return_window_on_SENT_ORTH_DIV_PREMIUM_lag_and_factors,1,long_leg,ILLIQ,P10,high_minus_low,high_amihud_illiquidity,RMRF,1.0065814012850747,0.06768791072503746,14.870918462441841,288,0.6386518324638389,HAC_Newey_West,5,0.0719394612757784,13.992061984261548,0.0,1000,6,20260510,1000,False,,,,False,False,False,False,
directional_by_leg,dividend_premium_macro_adjusted_fixed_pca,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,portfolio_return_window,portfolio_return_window_on_SENT_ORTH_DIV_PREMIUM_lag_and_factors,1,long_leg,ILLIQ,P10,high_minus_low,high_amihud_illiquidity,SMB,0.9584118503160567,0.07208481792963634,13.295613110261092,288,0.6386518324638389,HAC_Newey_West,5,0.07436092217098016,12.888649338053574,0.0,1000,6,20260510,1000,False,,,,False,False,False,False,
directional_by_leg,dividend_premium_macro_adjusted_fixed_pca,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,portfolio_return_window,portfolio_return_window_on_SENT_ORTH_DIV_PREMIUM_lag_and_factors,1,long_leg,ILLIQ,P10,high_minus_low,high_amihud_illiquidity,HML,0.09678222755205045,0.05746204669929549,1.6842808968939325,288,0.6386518324638389,HAC_Newey_West,5,0.05889948246386701,1.643176196181746,0.08,1000,6,20260510,1000,False,,,,False,False,False,False,
directional_by_leg,dividend_premium_macro_adjusted_fixed_pca,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,portfolio_return_window,portfolio_return_window_on_SENT_ORTH_DIV_PREMIUM_lag_and_factors,1,long_leg,ILLIQ,P10,high_minus_low,high_amihud_illiquidity,UMD,0.06019096069599113,0.0484262727168368,1.2429401917414964,288,0.6386518324638389,HAC_Newey_West,5,0.05118190264928939,1.176020381821949,0.29,1000,6,20260510,1000,False,,,,False,False,False,False,
directional_by_leg,dividend_premium_macro_adjusted_fixed_pca,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,portfolio_return_window,portfolio_return_window_on_SENT_ORTH_DIV_PREMIUM_lag_and_factors,1,long_leg,IVOL_FF3,P10,high_minus_low,high_ff3_idiosyncratic_volatility,intercept,-0.5320328686239563,0.3130670399901165,-1.6994215316973404,288,0.6927322574623096,HAC_Newey_West,5,0.32497635648086337,-1.6371433121636518,0.102,1000,6,20260510,1000,False,,,,False,False,False,False,
directional_by_leg,dividend_premium_macro_adjusted_fixed_pca,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,portfolio_return_window,portfolio_return_window_on_SENT_ORTH_DIV_PREMIUM_lag_and_factors,1,long_leg,IVOL_FF3,P10,high_minus_low,high_ff3_idiosyncratic_volatility,SENT_ORTH_DIV_PREMIUM_lag,-1.540788854671487,0.6743704612789455,-2.284781056022793,288,0.6927322574623096,HAC_Newey_West,5,0.6687386835758354,-2.304022322191207,0.006,1000,6,20260510,1000,True,-1.0,2.284781056022793,2.304022322191207,True,True,True,False,
