peak_month,peak_level,trough_month,trough_level,recovery_month,drawdown_pct
2021-12-31,2419.72998046875,2022-09-30,1828.97998046875,2024-02-29,-24.413881084597712
2015-02-28,1691.030029296875,2016-06-30,1323.5799560546875,2019-10-31,-21.729364167174026
2011-04-30,1162.8399658203125,2011-09-30,910.1699829101562,2013-01-31,-21.72869787218854
2020-01-31,1783.260009765625,2020-03-31,1482.4300537109375,2020-09-30,-16.869663111787368
2025-02-28,2724.699951171875,2025-04-30,2434.06005859375,2025-10-31,-10.666858655505273
