selected_proxy,coefficient
ESI_L1,0.26233653091329123
CCI_L1,0.20417266331145165
TURN_L1,0.11870860709171949
NIPO,0.10380977938284339
RIPO,0.058206756012316466
ED_RATIO_L1,0.12126295527409962
DIV_PREMIUM,0.1763786940188093
