month_end_date,adj_close,SENT_ORTH_DIV_PREMIUM
2008-11-30,641.739990234375,0.4232721001891469
2008-12-31,662.3300170898438,0.2772330436912541
2009-01-31,617.3800048828125,0.10826102515485891
2009-02-28,640.3900146484375,0.27184625104934057
2009-03-31,653.0499877929688,0.6702608864919481
2009-04-30,763.8900146484375,0.3053380224254495
2009-05-31,776.5,0.20273164460648196
2009-06-30,795.7999877929688,0.42514704411604803
2009-07-31,882.0499877929688,0.3276049279037699
2009-08-31,904.8400268554688,0.16949571817305473
2009-09-30,896.760009765625,0.42459241977401496
2009-10-31,944.6699829101562,0.4953775083725295
2009-11-30,936.1900024414062,0.5381124303788923
2009-12-31,951.719970703125,0.3819373392835715
2010-01-31,953.7100219726562,0.46338530946485446
2010-02-28,947.3900146484376,0.35948812899784155
2010-03-31,1021.0800170898438,0.2544518075139141
2010-04-30,1053.8800048828125,0.2350265863798433
2010-05-31,980.6300048828124,-0.09311863641253984
2010-06-30,1005.9299926757812,-0.014045637925464802
2010-07-31,1047.260009765625,-0.05177658728184312
2010-08-31,1011.7000122070312,-0.24396976658851813
2010-09-30,1087.7099609375,-0.45685297394500457
2010-10-31,1089.3199462890625,-0.13428417621886043
2010-11-30,1107.050048828125,-0.26303827609138514
2010-12-31,1155.5699462890625,-0.13871299560736244
2011-01-31,1147.219970703125,-0.23720231151625304
2011-02-28,1128.6600341796875,-0.12416394025884805
2011-03-31,1134.8699951171875,-0.3836765072159964
2011-04-30,1162.8399658203125,-0.06682205841145311
2011-05-31,1151.3599853515625,-0.7084081555371724
2011-06-30,1115.22998046875,-0.19845617615715397
2011-07-31,1065.969970703125,-0.5340868518724915
2011-08-31,954.6300048828124,-0.6092412258041493
2011-09-30,910.1699829101562,-0.31291846711735005
2011-10-31,990.4400024414062,-0.8746952130102206
2011-11-30,979.3599853515624,-0.8197761107821014
2011-12-31,987.8499755859376,-0.8306499707465079
2012-01-31,1036.3399658203125,-1.3106439156619556
2012-02-29,1101.760009765625,-0.8014925969271303
2012-03-31,1074.47998046875,-0.9657672754461539
2012-04-30,1059.6199951171875,-0.7186954819942825
2012-05-31,975.97998046875,-1.068315414930571
2012-06-30,1019.0599975585938,-0.8412682438307028
2012-07-31,1068.1600341796875,-1.0002185813869655
2012-08-31,1043.9300537109375,-1.3326989856510845
2012-09-30,1072.449951171875,-0.9449607664030224
2012-10-31,1052.1099853515625,-0.8010580056991505
2012-11-30,1085.8499755859375,-0.5677867933625274
2012-12-31,1104.72998046875,-0.745861656663864
2013-01-31,1169.1700439453125,-0.8174317694146085
2013-02-28,1199.4000244140625,-0.5559613210036284
2013-03-31,1201.18994140625,-0.3234930871657825
2013-04-30,1198.989990234375,-0.4332276860987261
2013-05-31,1214.77001953125,-0.41659777016835847
2013-06-30,1151.0,-0.6666050588187329
2013-07-31,1234.0699462890625,-0.8160438301684924
2013-08-31,1214.3499755859375,-0.633198881628199
2013-09-30,1259.5999755859375,-0.456725893683897
2013-10-31,1283.52001953125,0.04707134343711068
2013-11-30,1307.7099609375,-0.3609282605967308
2013-12-31,1332.949951171875,-0.26012912010506095
2014-01-31,1304.449951171875,-0.3507507760622072
2014-02-28,1369.1300048828125,-0.06601974761488258
2014-03-31,1364.969970703125,-0.37691970087462295
2014-04-30,1364.3900146484375,-0.45590303585710934
2014-05-31,1402.0799560546875,-0.6128744068662705
2014-06-30,1376.81005859375,-0.547270168681346
2014-07-31,1379.8699951171875,-0.5745868712241039
2014-08-31,1388.8900146484375,-0.7931847107449836
2014-09-30,1403.0,-0.011253525540355663
2014-10-31,1412.8399658203125,0.11635066466396413
