variable,Comp1,Comp2,Comp3,Comp4,Comp5,sum
ESI_L1,0.0243936947709685,0.16231516952880767,0.040042635612652894,-0.0044050629788493865,0.03922513078588703,0.2615715677194667
CCI_L1,0.03694146650153952,0.16359914457423302,0.027708358622005817,0.015529871685227084,-0.040903246991462895,0.20287559439154254
TURN_L1,-0.03615255879776514,-0.0498812468980172,0.13506714444434725,0.06946428969556728,0.0021549293778725517,0.12065255782200475
NIPO,0.06881495612678867,0.010222099803882253,-0.0947909410340886,0.1097117008283764,0.00671115368609194,0.10066896941105068
RIPO,-0.007374364835114754,0.005563162691009046,0.006265522379531783,0.004242319023613579,0.04963005210275408,0.058326691361793734
ED_RATIO_L1,0.1820141505652132,-0.022865845045614265,-0.00886359289067464,-0.03548023237155428,0.0072826669876192626,0.12208714724498926
DIV_PREMIUM,0.1605977946900756,-0.05172483808911829,0.06889998519005641,0.00612993617176096,-0.0049147611943582015,0.17898811676841647
