return_horizon_months,sort_variable,characteristic,sent_orth_coef,sent_orth_hac_t,sent_orth_expected_signed_hac_t,sent_orth_theory_consistent_hac_5pct,sent_s_coef,sent_s_hac_t,sent_s_expected_signed_hac_t,sent_s_theory_consistent_hac_5pct,loses_hac_5pct_under_sent_s,sibley_status
1,ME,Small firms,-1.3357952762298873,-1.9013452358800276,1.9013452358800276,False,-0.7944169737337847,-1.092778423037274,1.092778423037274,False,False,Not 5% before
1,age,Young firms,-0.3783411043790907,-0.8045698009288416,0.8045698009288416,False,-0.0666929761956436,-0.1662215834276879,0.1662215834276879,False,False,Not 5% before
1,risk,Total risk,-2.600736131326331,-3.503741957136944,3.503741957136944,True,-1.1380410807087322,-1.6353072410192164,1.6353072410192164,False,True,Loses 5%
1,IVOL_FF3,\var{IVOL^{FF3}},-2.242455345153076,-2.6943478567645247,2.6943478567645247,True,-0.6199883116479772,-0.8138593479963772,0.8138593479963772,False,True,Loses 5%
1,E_plus_BE,Low profitability,-0.4370657088165858,-0.6361964255385215,0.6361964255385215,False,0.2395291660121712,0.4389259990456614,-0.4389259990456614,False,False,Not 5% before
1,UNPROFITABLE,Unprofitable,-0.542620573522645,-0.9553500357352368,0.9553500357352368,False,-0.1478655011598605,-0.3375538348254729,0.3375538348254729,False,False,Not 5% before
1,NON_D_PAYER,Non-dividend payer,-0.6287734580445482,-2.238945186897832,2.238945186897832,True,0.0743037741136215,0.3796876894107705,-0.3796876894107705,False,True,Loses 5%
1,PPE_A,Low tangibility,-1.2736622546159102,-2.98662668461162,2.98662668461162,True,-1.549732488219391,-2.5039499664241203,2.5039499664241203,True,False,Stays 5%
1,GS,Sales growth,-0.7974228400469376,-1.3264732231883396,1.3264732231883396,False,-0.5320204020486166,-0.9701538420154712,0.9701538420154712,False,False,Not 5% before
1,ILLIQ,Illiquidity,-0.3036501593896232,-0.6651726596065602,0.6651726596065602,False,0.1491399662115572,0.3050950304884221,-0.3050950304884221,False,False,Not 5% before
1,XTURN,Low turnover,-0.1060007950223729,-0.1608698858285008,0.1608698858285008,False,-1.0820360997349767,-1.855247937714684,1.855247937714684,False,False,Not 5% before
3,ME,Small firms,-2.4359241425683846,-1.3832050010553625,1.3832050010553625,False,0.0117127885428434,0.0087857711418672,-0.0087857711418672,False,False,Not 5% before
3,age,Young firms,-1.0564517219856182,-0.7922248448711565,0.7922248448711565,False,-0.4554918834405135,-0.4750575862403107,0.4750575862403107,False,False,Not 5% before
3,risk,Total risk,-6.493914795755549,-3.559900218081847,3.559900218081847,True,-1.295593732204021,-0.9587045644761428,0.9587045644761428,False,True,Loses 5%
3,IVOL_FF3,\var{IVOL^{FF3}},-5.598576500099081,-2.9657823094260225,2.9657823094260225,True,-0.6261111925674894,-0.4089240183859294,0.4089240183859294,False,True,Loses 5%
3,E_plus_BE,Low profitability,0.4293950310205971,0.3360600841205736,-0.3360600841205736,False,1.232046514242365,1.4324065920322064,-1.4324065920322064,False,False,Not 5% before
3,UNPROFITABLE,Unprofitable,-1.1095867280858722,-1.3627575080581886,1.3627575080581886,False,0.4807361827720586,1.22275412386433,-1.22275412386433,False,False,Not 5% before
3,NON_D_PAYER,Non-dividend payer,-1.878800770692864,-2.4586832263446867,2.4586832263446867,True,0.3030640432638596,0.7365581210824712,-0.7365581210824712,False,True,Loses 5%
3,PPE_A,Low tangibility,-4.455361068626997,-3.8609016239869054,3.8609016239869054,True,-3.109267620471617,-2.879686617698684,2.879686617698684,True,False,Stays 5%
3,GS,Sales growth,-0.878932831140074,-0.6371759947415245,0.6371759947415245,False,-0.9032945177661558,-0.9752746587099456,0.9752746587099456,False,False,Not 5% before
3,ILLIQ,Illiquidity,-0.030429158583302,-0.0284037446276553,0.0284037446276553,False,0.755796106850436,1.121938663425209,-1.121938663425209,False,False,Not 5% before
3,XTURN,Low turnover,1.036683740904562,0.6201487260305242,-0.6201487260305242,False,-1.8234190431299608,-1.450315303323665,1.450315303323665,False,False,Not 5% before
