result_set,sentiment_index_family,sentiment_index_label,sentiment_regressor,macro_orthogonalized_flag,main_specification_flag,dependent_variable,model,return_horizon_months,return_leg,sort_variable,sentiment_prone_direction,sentiment_prone_interpretation,term,coef,std_error,t_stat,n_obs,r2,standard_error_type,hac_lags,sentiment_term_flag,expected_coef_sign,expected_signed_t_stat,expected_signed_bootstrap_t_stat,theory_consistent_sign,theory_consistent_hac_5pct,theory_consistent_bootstrap_5pct,mechanical_overlap_warning,mechanical_overlap_note
directional_spread,dividend_premium_unadjusted_fixed_pca,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,portfolio_return_window,portfolio_return_window_on_SENT_DIV_PREMIUM_lag_and_factors,3,directional_spread,XTURN,low_minus_high,low_share_turnover,SENT_DIV_PREMIUM_lag,-3.4828793069946484,1.5133425015088457,-2.301448154348482,286,0.2096150815198773,HAC_Newey_West,5,True,-1.0,2.301448154348482,2.225137823031744,True,True,True,False,
directional_spread,dividend_premium_unadjusted_fixed_pca,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,portfolio_return_window,portfolio_return_window_on_SENT_DIV_PREMIUM_lag_and_factors,3,directional_spread,XTURN,low_minus_high,low_share_turnover,RMRF,-0.3011123089657332,0.07941471855308548,-3.791643595191388,286,0.2096150815198773,HAC_Newey_West,5,False,,,,False,False,False,False,
directional_spread,dividend_premium_unadjusted_fixed_pca,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,portfolio_return_window,portfolio_return_window_on_SENT_DIV_PREMIUM_lag_and_factors,3,directional_spread,XTURN,low_minus_high,low_share_turnover,SMB,-0.3672582996975533,0.11637364209515666,-3.155854651324333,286,0.2096150815198773,HAC_Newey_West,5,False,,,,False,False,False,False,
directional_spread,dividend_premium_unadjusted_fixed_pca,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,portfolio_return_window,portfolio_return_window_on_SENT_DIV_PREMIUM_lag_and_factors,3,directional_spread,XTURN,low_minus_high,low_share_turnover,HML,0.18747908769348026,0.11731463661378161,1.5980877843119539,286,0.2096150815198773,HAC_Newey_West,5,False,,,,False,False,False,False,
directional_spread,dividend_premium_unadjusted_fixed_pca,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,portfolio_return_window,portfolio_return_window_on_SENT_DIV_PREMIUM_lag_and_factors,3,directional_spread,XTURN,low_minus_high,low_share_turnover,UMD,0.09177721131793226,0.09681822092929389,0.9479332550941721,286,0.2096150815198773,HAC_Newey_West,5,False,,,,False,False,False,False,
directional_spread,dividend_premium_unadjusted_fixed_pca,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,portfolio_return_window,portfolio_return_window_on_SENT_DIV_PREMIUM_lag_and_factors,3,directional_spread,age,low_minus_high,young_firms,intercept,1.2414884296908106,0.8834842317187729,1.4052185484686683,286,0.23044875148650712,HAC_Newey_West,5,False,,,,False,False,False,False,
directional_spread,dividend_premium_unadjusted_fixed_pca,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,portfolio_return_window,portfolio_return_window_on_SENT_DIV_PREMIUM_lag_and_factors,3,directional_spread,age,low_minus_high,young_firms,SENT_DIV_PREMIUM_lag,-1.5283826107115375,1.134482008758562,-1.3472074470215811,286,0.23044875148650712,HAC_Newey_West,5,True,-1.0,1.3472074470215811,1.314969776217586,True,False,False,False,
directional_spread,dividend_premium_unadjusted_fixed_pca,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,portfolio_return_window,portfolio_return_window_on_SENT_DIV_PREMIUM_lag_and_factors,3,directional_spread,age,low_minus_high,young_firms,RMRF,-0.09893366132774906,0.0853534339826967,-1.1591058111124788,286,0.23044875148650712,HAC_Newey_West,5,False,,,,False,False,False,False,
directional_spread,dividend_premium_unadjusted_fixed_pca,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,portfolio_return_window,portfolio_return_window_on_SENT_DIV_PREMIUM_lag_and_factors,3,directional_spread,age,low_minus_high,young_firms,SMB,0.4147406298745702,0.11422484612481845,3.6309143233282635,286,0.23044875148650712,HAC_Newey_West,5,False,,,,False,False,False,False,
directional_spread,dividend_premium_unadjusted_fixed_pca,SENT_DIV_PREMIUM,SENT_DIV_PREMIUM_lag,False,False,portfolio_return_window,portfolio_return_window_on_SENT_DIV_PREMIUM_lag_and_factors,3,directional_spread,age,low_minus_high,young_firms,HML,-0.1514933479333332,0.08341238437364856,-1.8161973077608438,286,0.23044875148650712,HAC_Newey_West,5,False,,,,False,False,False,False,
