sort_variable,sort_type,sentiment_prone_direction,sentiment_prone_interpretation,month_end_date,portfolio_code,portfolio_return,return_leg,directional_long_code,directional_short_code
ME,continuous,low_minus_high,small_firms,2000-02-29,P01,14.202879121374911,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2000-02-29,P10,10.01498265424284,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2000-03-31,P01,13.70721453671233,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2000-03-31,P10,-2.9445504858531604,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2000-04-30,P01,-5.352792231068052,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2000-04-30,P10,-1.2316549973624424,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2000-05-31,P01,-11.692371177364123,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2000-05-31,P10,-7.70715208064034,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2000-06-30,P01,-11.114385865931325,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2000-06-30,P10,-4.83768851082398,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2000-07-31,P01,-2.2343457020124062,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2000-07-31,P10,2.2159309958989355,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2000-08-31,P01,3.558934334739546,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2000-08-31,P10,0.47553633840413584,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2000-09-30,P01,-2.971449355557846,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2000-09-30,P10,-5.222245657289924,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2000-10-31,P01,-16.359008986703415,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2000-10-31,P10,0.9681607140341422,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2000-11-30,P01,-10.276123936296418,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2000-11-30,P10,-6.676108850028391,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2000-12-31,P01,-20.2165767877504,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2000-12-31,P10,1.6065776606672035,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-01-31,P01,32.13809365874881,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-01-31,P10,8.440704712012648,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-02-28,P01,-7.144662287782474,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-02-28,P10,-5.477535563085173,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-03-31,P01,-14.646022827975116,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-03-31,P10,-9.42401324318229,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-04-30,P01,-1.0592722926244653,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-04-30,P10,12.303550083444666,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-05-31,P01,-3.897153503889362,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-05-31,P10,0.14822024797797687,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-06-30,P01,-15.3318602392059,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-06-30,P10,-6.97507564217721,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-07-31,P01,-14.44531944446347,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-07-31,P10,-1.5560941027432595,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-08-31,P01,-6.438466335598459,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-08-31,P10,-8.939135776873533,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-09-30,P01,-19.482805317574698,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-09-30,P10,-9.33521716589421,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-10-31,P01,11.181706545457528,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-10-31,P10,7.377829273768687,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-11-30,P01,10.079294161133522,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-11-30,P10,9.781718179863029,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-12-31,P01,-11.075949520098563,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2001-12-31,P10,1.7637561829431445,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-01-31,P01,7.007628839518008,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-01-31,P10,-3.14134706636997,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-02-28,P01,-7.846576685258292,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-02-28,P10,1.3824543651377617,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-03-31,P01,2.64140166742527,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-03-31,P10,3.1657310736200417,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-04-30,P01,-11.413353106815501,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-04-30,P10,-4.650280156149475,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-05-31,P01,-9.256820338703308,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-05-31,P10,-5.018313190372917,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-06-30,P01,-8.994704672358825,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-06-30,P10,-6.180228135242115,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-07-31,P01,-2.0159266967788687,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-07-31,P10,-8.713021077037945,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-08-31,P01,0.7129205044124687,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-08-31,P10,-3.653895650320038,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-09-30,P01,-21.71040535385643,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-09-30,P10,-15.070068807901178,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-10-31,P01,18.4601043265529,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-10-31,P10,15.35832710940306,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-11-30,P01,55.121929356664246,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-11-30,P10,14.120013922033408,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-12-31,P01,-20.28451768873539,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2002-12-31,P10,-10.399610524173113,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-01-31,P01,1.142769429920079,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-01-31,P10,-4.3376488741254535,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-02-28,P01,6.026405870059995,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-02-28,P10,-2.212879989104677,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-03-31,P01,-4.248238330292444,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-03-31,P10,-2.2652526254941576,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-04-30,P01,0.1255754537703861,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-04-30,P10,14.73676279634785,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-05-31,P01,10.203972801703426,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-05-31,P10,-0.05257587323243365,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-06-30,P01,7.148157248281452,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-06-30,P10,4.616724333652008,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-07-31,P01,-5.262676501975029,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-07-31,P10,6.454350563565046,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-08-31,P01,6.830699736404391,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-08-31,P10,4.563753280246162,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-09-30,P01,14.220396057512305,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-09-30,P10,-3.983800058263074,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-10-31,P01,-4.29580124362181,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-10-31,P10,8.98697792652046,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-11-30,P01,-3.4151936951624617,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-11-30,P10,-0.9334073928252667,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-12-31,P01,-3.412178730859542,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2003-12-31,P10,1.8728042016545916,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-01-31,P01,32.87316415936929,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-01-31,P10,5.009796751642328,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-02-29,P01,10.13416176219441,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-02-29,P10,1.3020632518950295,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-03-31,P01,-5.843309353945159,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-03-31,P10,-0.6806858928234182,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-04-30,P01,-2.3608720788348387,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-04-30,P10,3.2659678679994255,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-05-31,P01,-6.088642465163777,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-05-31,P10,-1.4667899672559006,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-06-30,P01,-3.638892519229344,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-06-30,P10,2.058987736699412,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-07-31,P01,-5.828129653446356,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-07-31,P10,-1.3835991394641383,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-08-31,P01,-7.669579647703569,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-08-31,P10,-1.9617100716230316,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-09-30,P01,5.587796660963629,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-09-30,P10,2.4865809564630412,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-10-31,P01,-3.0548054077643143,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-10-31,P10,-0.022999665902126796,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-11-30,P01,4.631688274890879,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-11-30,P10,5.46179412744152,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-12-31,P01,1.1623572613603697,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2004-12-31,P10,1.9699001431852898,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-01-31,P01,6.264234562719042,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-01-31,P10,1.3642964636655848,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-02-28,P01,5.525682976695734,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-02-28,P10,3.950543132345783,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-03-31,P01,9.890524228308477,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-03-31,P10,0.4076122430263554,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-04-30,P01,-4.557880661775278,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-04-30,P10,-1.6306151417983856,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-05-31,P01,0.9086343928518084,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-05-31,P10,-1.902883715100165,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-06-30,P01,8.403635990575399,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-06-30,P10,4.7802815625079935,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-07-31,P01,0.3063836329747272,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-07-31,P10,5.268150910219326,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-08-31,P01,2.12833372398148,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-08-31,P10,-2.191841053237203,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-09-30,P01,13.90092508486225,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-09-30,P10,5.092088036987382,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-10-31,P01,-6.491244317124012,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-10-31,P10,-1.1376340102670899,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-11-30,P01,5.480830565013115,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-11-30,P10,4.404751592674338,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-12-31,P01,5.336585595622635,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2005-12-31,P10,6.749362625385222,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-01-31,P01,17.15726686326659,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-01-31,P10,4.00038058193494,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-02-28,P01,5.852646377467306,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-02-28,P10,2.4871805863153265,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-03-31,P01,2.2754636758387905,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-03-31,P10,6.5977007690726115,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-04-30,P01,-0.5465013257628579,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-04-30,P10,3.5839340472006738,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-05-31,P01,-9.00490073972353,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-05-31,P10,-8.187641370816594,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-06-30,P01,-6.378971361846598,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-06-30,P10,-2.057281037904856,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-07-31,P01,-5.380465789411621,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-07-31,P10,-0.8487606588244488,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-08-31,P01,5.166450265940314,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-08-31,P10,3.491861705717413,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-09-30,P01,2.872128215179186,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-09-30,P10,4.831756775397667,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-10-31,P01,-4.924056692013049,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-10-31,P10,4.244784259655569,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-11-30,P01,-4.430457066545808,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-11-30,P10,0.5708504114722687,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-12-31,P01,5.060199272711708,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2006-12-31,P10,9.831496487172497,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-01-31,P01,18.71348136137233,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-01-31,P10,2.7451790278922035,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-02-28,P01,-4.17208634539084,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-02-28,P10,-2.3671084860298346,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-03-31,P01,1.4256262724082178,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-03-31,P10,6.3822530096349555,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-04-30,P01,-4.665140909876338,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-04-30,P10,1.8377774292649551,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-05-31,P01,-1.9024208787693921,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-05-31,P10,-5.237106311808771,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-06-30,P01,-1.8092052498012905,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-06-30,P10,-5.1514417302984,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-07-31,P01,-0.21806799016282755,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-07-31,P10,-0.45609630626690606,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-08-31,P01,-6.625646909109747,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-08-31,P10,-3.429876300054481,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-09-30,P01,2.0431412968610823,long_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-09-30,P10,-2.911283880812816,short_leg,P01,P10
ME,continuous,low_minus_high,small_firms,2007-10-31,P01,-2.4345278953310165,long_leg,P01,P10
