return_horizon_months,sentiment_index_label,sentiment_regressor,macro_orthogonalized_flag,main_specification_flag,model_count,mean_coef,mean_hac_t,mean_expected_signed_t,mean_bootstrap_t,mean_expected_signed_bootstrap_t,hac_theory_consistent_5pct_share,bootstrap_theory_consistent_5pct_share,mean_r2,min_n_obs,median_n_obs
1,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,11,-0.9678657860497281,-1.6248762683742681,1.6248762683742681,-1.6232222159549587,1.6232222159549587,0.36363636363636365,0.36363636363636365,0.28987170374499605,240,288.0
1,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,11,-0.4970746297374211,-0.7501239506832227,0.7501239506832227,-0.6799835786331715,0.6799835786331715,0.09090909090909091,0.09090909090909091,0.2852212797154921,240,288.0
3,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,11,-2.0428999041465983,-1.462984151003841,1.462984151003841,-1.448999257983821,1.448999257983821,0.36363636363636365,0.36363636363636365,0.33558918853284775,238,286.0
3,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,11,-0.49362021399165407,-0.23868358884441757,0.23868358884441757,-0.23883748444389363,0.23883748444389363,0.09090909090909091,0.09090909090909091,0.3192206340772049,238,286.0
6,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,11,-4.368817938126717,-1.9321308559655248,1.9321308559655248,-1.9077051226240307,1.9077051226240307,0.45454545454545453,0.45454545454545453,0.38545553579519304,235,283.0
6,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,11,-1.4644346196631945,-0.7891034254316771,0.7891034254316771,-0.7538289915964174,0.7538289915964174,0.09090909090909091,0.09090909090909091,0.3490172890180108,235,283.0
12,SENT_ORTH_DIV_PREMIUM,SENT_ORTH_DIV_PREMIUM_lag,True,True,11,-7.893079857498218,-2.2168319286578875,2.2168319286578875,-2.078303432566464,2.078303432566464,0.6363636363636364,0.6363636363636364,0.47791529024265267,229,277.0
12,SENT_ORTH_SIBLEY_DIV_PREMIUM,SENT_ORTH_SIBLEY_DIV_PREMIUM_lag,True,False,11,-1.8821506328494442,-0.7306368014893241,0.7306368014893241,-0.6822958561191667,0.6822958561191667,0.09090909090909091,0.09090909090909091,0.41758223682211776,229,277.0
