horizon,sent_coef,factor_coef,sent_r2,factor_r2,coef_change,r2_change
1,-0.274324442690645,-0.9678657860497307,0.0027183484774268725,0.289871703744996,-0.6935413433590858,0.28715335526756913
3,0.07498060179939806,-2.042899904146598,0.009990716889873156,0.3355891885328477,-2.1178805059459958,0.32559847164297456
6,-1.3541958368728266,-4.368817938126725,0.01664488113221235,0.3854555357951929,-3.014622101253898,0.3688106546629806
12,-5.243910293782813,-7.893079857498204,0.04184967651660305,0.47791529024265267,-2.6491695637153914,0.43606561372604963
