variable,correlation_with_SENT_DIV_PREMIUM
ESI_L1,0.6985424227741069
CCI_L1,0.668049002932406
TURN_L1,0.1658074021693653
NIPO,0.22583633343831025
RIPO,0.09343116054814134
ED_RATIO_L1,0.4452051021686828
DIV_PREMIUM,0.5335671189768432
