sort_variable,sort_type,sentiment_prone_direction,sentiment_prone_interpretation,month_end_date,spread_code,spread_return,long_code,short_code,return_leg
ME,continuous,low_minus_high,small_firms,2003-08-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,2.2669464561582293,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2003-09-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,18.204196115775378,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2003-10-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-13.28277917014227,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2003-11-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,-2.481786302337195,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2003-12-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-5.284982932514134,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2004-01-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,27.86336740772696,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2004-02-29,SENTIMENT_PRONE_MINUS_INSENSITIVE,8.83209851029938,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2004-03-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-5.162623461121741,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2004-04-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,-5.626839946834265,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2004-05-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-4.621852497907876,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2004-06-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,-5.697880255928756,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2004-07-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-4.444530513982218,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2004-08-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-5.707869576080537,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2004-09-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,3.1012157045005875,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2004-10-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-3.0318057418621875,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2004-11-30,SENTIMENT_PRONE_MINUS_INSENSITIVE,-0.8301058525506404,P01,P10,directional_spread
ME,continuous,low_minus_high,small_firms,2004-12-31,SENTIMENT_PRONE_MINUS_INSENSITIVE,-0.8075428818249202,P01,P10,directional_spread
